,seqnames,start,end,width,strand,sumReadsM,sumReadsN,Propdiff.CG.Fvb5,context,group
1,Fvb5,1,50000,50000,*,24053,36557,-0.0263656138406985,CG,AK_FK
2,Fvb5,50001,100000,50000,*,8972,37217,0.0265310808221249,CG,AK_FK
3,Fvb5,100001,150000,50000,*,8053,46196,0.014644812493648,CG,AK_FK
4,Fvb5,150001,200000,50000,*,14114,43981,0.0340219527760296,CG,AK_FK
5,Fvb5,200001,250000,50000,*,7298,38362,0.00067671167492836,CG,AK_FK
6,Fvb5,250001,300000,50000,*,9599,48986,0.0209442947578619,CG,AK_FK
7,Fvb5,300001,350000,50000,*,5027,45498,0.0137346122285242,CG,AK_FK
8,Fvb5,350001,400000,50000,*,6691,55704,0.015607383684967,CG,AK_FK
9,Fvb5,400001,450000,50000,*,15030,50459,0.0504436174775088,CG,AK_FK
10,Fvb5,450001,500000,50000,*,6811,41994,0.0226568384270174,CG,AK_FK
11,Fvb5,500001,550000,50000,*,6348,41488,0.0230533763506648,CG,AK_FK
12,Fvb5,550001,600000,50000,*,10055,31742,0.0216681320694023,CG,AK_FK
13,Fvb5,600001,650000,50000,*,31948,44058,0.0120086997632712,CG,AK_FK
14,Fvb5,650001,700000,50000,*,10908,27698,0.101422659750227,CG,AK_FK
15,Fvb5,700001,750000,50000,*,8203,41318,0.00672667621083117,CG,AK_FK
16,Fvb5,750001,800000,50000,*,20717,44249,0.0706109481305189,CG,AK_FK
17,Fvb5,800001,850000,50000,*,9939,44182,0.0477684750769981,CG,AK_FK
18,Fvb5,850001,900000,50000,*,12957,39704,-0.0102073375561651,CG,AK_FK
19,Fvb5,900001,950000,50000,*,8039,44065,0.0212296558816478,CG,AK_FK
20,Fvb5,950001,1000000,50000,*,9158,20348,-0.136906936291149,CG,AK_FK
21,Fvb5,1000001,1050000,50000,*,13284,19600,-0.0187188048703261,CG,AK_FK
22,Fvb5,1050001,1100000,50000,*,11078,39498,0.0204389001374866,CG,AK_FK
23,Fvb5,1100001,1150000,50000,*,10159,48592,0.0504358147447978,CG,AK_FK
24,Fvb5,1150001,1200000,50000,*,9923,35029,0.0192424453878089,CG,AK_FK
25,Fvb5,1200001,1250000,50000,*,22836,39564,0.0242974954333424,CG,AK_FK
26,Fvb5,1250001,1300000,50000,*,7476,41617,0.0208078092957525,CG,AK_FK
27,Fvb5,1300001,1350000,50000,*,9944,44803,0.0288638701028972,CG,AK_FK
28,Fvb5,1350001,1400000,50000,*,8853,38161,0.0362844642012938,CG,AK_FK
29,Fvb5,1400001,1450000,50000,*,15495,32000,0.0996409548475371,CG,AK_FK
30,Fvb5,1450001,1500000,50000,*,17712,32614,0.0075599608023974,CG,AK_FK
31,Fvb5,1500001,1550000,50000,*,9786,38215,0.0459672930277679,CG,AK_FK
32,Fvb5,1550001,1600000,50000,*,8692,26696,0.00782714308378429,CG,AK_FK
33,Fvb5,1600001,1650000,50000,*,9883,29565,-0.045631056330442,CG,AK_FK
34,Fvb5,1650001,1700000,50000,*,14280,30812,0.0329402849679126,CG,AK_FK
35,Fvb5,1700001,1750000,50000,*,10768,43676,0.0143722476658371,CG,AK_FK
36,Fvb5,1750001,1800000,50000,*,4249,45203,0.0234992705598073,CG,AK_FK
37,Fvb5,1800001,1850000,50000,*,14453,41885,0.0449131620636066,CG,AK_FK
38,Fvb5,1850001,1900000,50000,*,16453,47025,0.0459608200792036,CG,AK_FK
39,Fvb5,1900001,1950000,50000,*,15532,48743,0.0501583082527754,CG,AK_FK
40,Fvb5,1950001,2000000,50000,*,7060,42695,0.0136602939546365,CG,AK_FK
41,Fvb5,2000001,2050000,50000,*,4911,37304,0.05713070611741,CG,AK_FK
42,Fvb5,2050001,2100000,50000,*,5861,54254,-0.00162433226972342,CG,AK_FK
43,Fvb5,2100001,2150000,50000,*,8510,35095,0.04447163290368,CG,AK_FK
44,Fvb5,2150001,2200000,50000,*,8281,33275,0.0257024701497448,CG,AK_FK
45,Fvb5,2200001,2250000,50000,*,7120,32458,0.0119348135426922,CG,AK_FK
46,Fvb5,2250001,2300000,50000,*,7980,21778,-0.186312294971604,CG,AK_FK
47,Fvb5,2300001,2350000,50000,*,6114,35937,0.0186444236264297,CG,AK_FK
48,Fvb5,2350001,2400000,50000,*,11043,36592,0.057022878001543,CG,AK_FK
49,Fvb5,2400001,2450000,50000,*,14989,36909,0.0277619920619051,CG,AK_FK
50,Fvb5,2450001,2500000,50000,*,13331,46540,0.0368226192686227,CG,AK_FK
51,Fvb5,2500001,2550000,50000,*,20843,43906,0.102177537026112,CG,AK_FK
52,Fvb5,2550001,2600000,50000,*,4829,37990,0.027908108084234,CG,AK_FK
53,Fvb5,2600001,2650000,50000,*,14445,51377,0.0598409301882016,CG,AK_FK
54,Fvb5,2650001,2700000,50000,*,6215,46887,0.0305000232012957,CG,AK_FK
55,Fvb5,2700001,2750000,50000,*,14409,39150,0.044380848468317,CG,AK_FK
56,Fvb5,2750001,2800000,50000,*,19018,38784,0.0432990093968383,CG,AK_FK
57,Fvb5,2800001,2850000,50000,*,48277,55978,0.0186982308822083,CG,AK_FK
58,Fvb5,2850001,2900000,50000,*,11447,33567,0.0706750464371244,CG,AK_FK
59,Fvb5,2900001,2950000,50000,*,13877,45699,0.0302123426176054,CG,AK_FK
60,Fvb5,2950001,3000000,50000,*,12222,36439,0.129185260177392,CG,AK_FK
61,Fvb5,3000001,3050000,50000,*,12516,55196,0.052836986933633,CG,AK_FK
62,Fvb5,3050001,3100000,50000,*,10808,33580,-0.00778625207058986,CG,AK_FK
63,Fvb5,3100001,3150000,50000,*,10442,43404,0.0246799321774114,CG,AK_FK
64,Fvb5,3150001,3200000,50000,*,10026,33867,0.0511491970146924,CG,AK_FK
65,Fvb5,3200001,3250000,50000,*,9472,40176,0.0122373820422484,CG,AK_FK
66,Fvb5,3250001,3300000,50000,*,5571,32983,-0.0404614603643006,CG,AK_FK
67,Fvb5,3300001,3350000,50000,*,13944,26727,0.0431088512304444,CG,AK_FK
68,Fvb5,3350001,3400000,50000,*,3304,9901,-0.0100930452133823,CG,AK_FK
