,seqnames,start,end,width,strand,sumReadsM,sumReadsN,Propdiff.CG.Fvb2,context,group
1,Fvb2,1,50000,50000,*,13311,23172,-0.276999830308636,CG,AK_FK
2,Fvb2,50001,100000,50000,*,15133,21129,0.00891398673181565,CG,AK_FK
3,Fvb2,100001,150000,50000,*,26089,28965,0.0148193530756204,CG,AK_FK
4,Fvb2,150001,200000,50000,*,26825,39346,0.0320087345446304,CG,AK_FK
5,Fvb2,200001,250000,50000,*,22250,31966,0.102245823658041,CG,AK_FK
6,Fvb2,250001,300000,50000,*,16684,36143,0.0629515176789429,CG,AK_FK
7,Fvb2,300001,350000,50000,*,22577,38985,0.03673141564386,CG,AK_FK
8,Fvb2,350001,400000,50000,*,30192,42852,0.0395183639829683,CG,AK_FK
9,Fvb2,400001,450000,50000,*,23971,38843,0.100075798901268,CG,AK_FK
10,Fvb2,450001,500000,50000,*,31154,39611,0.055372051480138,CG,AK_FK
11,Fvb2,500001,550000,50000,*,11634,35452,0.0546879555977968,CG,AK_FK
12,Fvb2,550001,600000,50000,*,17035,37349,0.125812586612271,CG,AK_FK
13,Fvb2,600001,650000,50000,*,19032,32553,0.115129166456258,CG,AK_FK
14,Fvb2,650001,700000,50000,*,23938,33067,0.0768151896488574,CG,AK_FK
15,Fvb2,700001,750000,50000,*,16629,28569,0.0521860365808637,CG,AK_FK
16,Fvb2,750001,800000,50000,*,19552,35025,0.0639406251442147,CG,AK_FK
17,Fvb2,800001,850000,50000,*,25228,36853,0.0706313342144999,CG,AK_FK
18,Fvb2,850001,900000,50000,*,16929,29837,-0.00199628322027678,CG,AK_FK
19,Fvb2,900001,950000,50000,*,25611,29324,0.102945383807891,CG,AK_FK
20,Fvb2,950001,1000000,50000,*,7868,17417,0.0775982639152495,CG,AK_FK
21,Fvb2,1000001,1050000,50000,*,3006,12375,-0.137115156036726,CG,AK_FK
22,Fvb2,1050001,1100000,50000,*,7216,14035,0.172445607454743,CG,AK_FK
23,Fvb2,1100001,1150000,50000,*,11295,34370,-0.141930647411504,CG,AK_FK
24,Fvb2,1150001,1200000,50000,*,7719,22624,-0.124071674415076,CG,AK_FK
25,Fvb2,1200001,1250000,50000,*,14418,26096,0.0538398488211098,CG,AK_FK
26,Fvb2,1250001,1300000,50000,*,7402,39205,0.0179218906899297,CG,AK_FK
27,Fvb2,1300001,1350000,50000,*,15609,44041,0.0355453457864659,CG,AK_FK
28,Fvb2,1350001,1400000,50000,*,13825,36758,-0.00915999664641215,CG,AK_FK
29,Fvb2,1400001,1450000,50000,*,10465,37471,0.0343846860619832,CG,AK_FK
30,Fvb2,1450001,1500000,50000,*,18691,41072,0.00264665414713383,CG,AK_FK
31,Fvb2,1500001,1550000,50000,*,11534,37141,0.0445830930823931,CG,AK_FK
32,Fvb2,1550001,1600000,50000,*,12228,18392,0.0675928195725743,CG,AK_FK
33,Fvb2,1600001,1650000,50000,*,19639,26823,0.0507008542354656,CG,AK_FK
34,Fvb2,1650001,1700000,50000,*,12147,26185,0.0333611399236352,CG,AK_FK
35,Fvb2,1700001,1750000,50000,*,14615,26417,0.00928981795630657,CG,AK_FK
36,Fvb2,1750001,1800000,50000,*,13359,23544,0.155520462559115,CG,AK_FK
37,Fvb2,1800001,1850000,50000,*,18607,36691,0.0516207192477609,CG,AK_FK
38,Fvb2,1850001,1900000,50000,*,17214,24451,-0.0104170818347123,CG,AK_FK
39,Fvb2,1900001,1950000,50000,*,11132,27408,0.0364915280111208,CG,AK_FK
