,seqnames,start,end,width,strand,sumReadsM,sumReadsN,Propdiff.CG.Fvb1,context,group
72,Fvb1,3550001,3600000,50000,*,27146,46012,0.0749011509778748,CG,AK_FK
73,Fvb1,3600001,3650000,50000,*,19753,41184,0.0496653277069906,CG,AK_FK
74,Fvb1,3650001,3700000,50000,*,10089,38691,0.0352455779126157,CG,AK_FK
75,Fvb1,3700001,3750000,50000,*,7201,24927,0.0172346668642543,CG,AK_FK
76,Fvb1,3750001,3800000,50000,*,9634,42220,0.0505694904004091,CG,AK_FK
77,Fvb1,3800001,3850000,50000,*,10899,42029,0.0726254878738019,CG,AK_FK
78,Fvb1,3850001,3900000,50000,*,11339,21644,0.0710103797956037,CG,AK_FK
79,Fvb1,3900001,3950000,50000,*,12955,45040,0.0338459157616931,CG,AK_FK
80,Fvb1,3950001,4000000,50000,*,9000,31197,0.0504259132457859,CG,AK_FK
81,Fvb1,4000001,4050000,50000,*,11711,38941,0.0675234174876569,CG,AK_FK
82,Fvb1,4050001,4100000,50000,*,9142,37915,0.0220515477507576,CG,AK_FK
83,Fvb1,4100001,4150000,50000,*,13428,37502,0.000336547513877516,CG,AK_FK
84,Fvb1,4150001,4200000,50000,*,11370,36876,0.0372468825934252,CG,AK_FK
85,Fvb1,4200001,4250000,50000,*,13371,35751,0.0200371147434769,CG,AK_FK
86,Fvb1,4250001,4300000,50000,*,14640,44020,0.0762071885181328,CG,AK_FK
87,Fvb1,4300001,4350000,50000,*,12219,44506,0.0226188226324434,CG,AK_FK
88,Fvb1,4350001,4400000,50000,*,10609,39178,0.0752265565025756,CG,AK_FK
89,Fvb1,4400001,4450000,50000,*,5324,25643,0.000860825389536746,CG,AK_FK
90,Fvb1,4450001,4500000,50000,*,12024,35025,0.0230408685053778,CG,AK_FK
91,Fvb1,4500001,4550000,50000,*,11678,44868,0.0772625257762306,CG,AK_FK
92,Fvb1,4550001,4600000,50000,*,11614,36249,0.0682872741195651,CG,AK_FK
93,Fvb1,4600001,4650000,50000,*,17732,38861,0.0917087323107942,CG,AK_FK
94,Fvb1,4650001,4700000,50000,*,5016,38522,0.0178358925417085,CG,AK_FK
95,Fvb1,4700001,4750000,50000,*,11706,47108,0.0215247074862005,CG,AK_FK
96,Fvb1,4750001,4800000,50000,*,9407,47680,0.0209456290869723,CG,AK_FK
97,Fvb1,4800001,4850000,50000,*,12382,28411,-0.0322506043647574,CG,AK_FK
98,Fvb1,4850001,4900000,50000,*,8875,45376,0.0140460694326758,CG,AK_FK
99,Fvb1,4900001,4950000,50000,*,11813,47369,0.0397436334101146,CG,AK_FK
100,Fvb1,4950001,5000000,50000,*,12798,43343,0.0377259304668481,CG,AK_FK
101,Fvb1,5000001,5050000,50000,*,12897,31109,0.0926990095616728,CG,AK_FK
102,Fvb1,5050001,5100000,50000,*,11513,55478,0.0665115950485319,CG,AK_FK
103,Fvb1,5100001,5150000,50000,*,13203,40188,0.0281381821380842,CG,AK_FK
104,Fvb1,5150001,5200000,50000,*,12855,44932,0.024378466042714,CG,AK_FK
105,Fvb1,5200001,5250000,50000,*,41582,45726,0.00667741835802849,CG,AK_FK
106,Fvb1,5250001,5300000,50000,*,46335,53924,0.0452573353854966,CG,AK_FK
107,Fvb1,5300001,5350000,50000,*,12749,34076,0.0585154275511736,CG,AK_FK
