,seqnames,start,end,width,strand,sumReadsM,sumReadsN,Propdiff.CG.Fvb3,context,group
1,Fvb3,1,50000,50000,*,29151,40111,0.0993402475498029,CG,AK_FK
2,Fvb3,50001,100000,50000,*,11198,42014,0.0308424119260758,CG,AK_FK
3,Fvb3,100001,150000,50000,*,10464,36462,0.0465827424510247,CG,AK_FK
4,Fvb3,150001,200000,50000,*,12195,39250,0.0379811362159931,CG,AK_FK
5,Fvb3,200001,250000,50000,*,6363,46761,0.00170483670238686,CG,AK_FK
6,Fvb3,250001,300000,50000,*,9983,33242,0.0715465236392604,CG,AK_FK
7,Fvb3,300001,350000,50000,*,10523,39912,-0.0892180230288658,CG,AK_FK
8,Fvb3,350001,400000,50000,*,12043,41093,-0.129995044714677,CG,AK_FK
9,Fvb3,400001,450000,50000,*,4660,38195,0.0147534600583675,CG,AK_FK
10,Fvb3,450001,500000,50000,*,12392,51444,0.0315729218888526,CG,AK_FK
11,Fvb3,500001,550000,50000,*,11067,48392,0.0327372029296498,CG,AK_FK
12,Fvb3,550001,600000,50000,*,17624,45518,0.0414398486927369,CG,AK_FK
13,Fvb3,600001,650000,50000,*,23504,43467,0.0252075518640087,CG,AK_FK
14,Fvb3,650001,700000,50000,*,22030,61515,0.033835927585583,CG,AK_FK
15,Fvb3,700001,750000,50000,*,14277,38053,0.0271373304661184,CG,AK_FK
16,Fvb3,750001,800000,50000,*,11782,30718,0.0050795315696503,CG,AK_FK
17,Fvb3,800001,850000,50000,*,27584,42505,0.0967706861939173,CG,AK_FK
18,Fvb3,850001,900000,50000,*,6984,52642,0.0440502737700365,CG,AK_FK
19,Fvb3,900001,950000,50000,*,8680,30602,0.00745718584928029,CG,AK_FK
20,Fvb3,950001,1000000,50000,*,6247,45326,0.0200466022140639,CG,AK_FK
21,Fvb3,1000001,1050000,50000,*,14770,32327,-0.00671966704423643,CG,AK_FK
22,Fvb3,1050001,1100000,50000,*,7011,37541,0.0132139870896436,CG,AK_FK
23,Fvb3,1100001,1150000,50000,*,5010,22813,0.102573085396933,CG,AK_FK
24,Fvb3,1150001,1200000,50000,*,16556,40563,0.0437191745679723,CG,AK_FK
