,seqnames,start,end,width,strand,sumReadsM,sumReadsN,Propdiff.CG.Fvb7,context,group
1,Fvb7,1,50000,50000,*,267,396,0.146911234531813,CG,AK_FK
2,Fvb7,50001,100000,50000,*,0,0,0,CG,AK_FK
3,Fvb7,100001,150000,50000,*,0,0,0,CG,AK_FK
4,Fvb7,150001,200000,50000,*,0,0,0,CG,AK_FK
5,Fvb7,200001,250000,50000,*,0,0,0,CG,AK_FK
6,Fvb7,250001,300000,50000,*,0,0,0,CG,AK_FK
7,Fvb7,300001,350000,50000,*,0,0,0,CG,AK_FK
8,Fvb7,350001,400000,50000,*,0,0,0,CG,AK_FK
9,Fvb7,400001,450000,50000,*,0,0,0,CG,AK_FK
10,Fvb7,450001,500000,50000,*,0,0,0,CG,AK_FK
11,Fvb7,500001,550000,50000,*,0,0,0,CG,AK_FK
12,Fvb7,550001,600000,50000,*,8,8,0,CG,AK_FK
13,Fvb7,600001,650000,50000,*,19694,28633,0.0524312418471993,CG,AK_FK
14,Fvb7,650001,700000,50000,*,18269,29014,0.00203937706753365,CG,AK_FK
15,Fvb7,700001,750000,50000,*,19751,27640,0.0309770087415892,CG,AK_FK
16,Fvb7,750001,800000,50000,*,16773,34914,0.0699355852534441,CG,AK_FK
17,Fvb7,800001,850000,50000,*,28996,37196,0.0207770051752161,CG,AK_FK
18,Fvb7,850001,900000,50000,*,11218,24463,0.00263056059713396,CG,AK_FK
19,Fvb7,900001,950000,50000,*,28151,34544,-0.00487163528772283,CG,AK_FK
20,Fvb7,950001,1000000,50000,*,20668,25361,0.0144985770552586,CG,AK_FK
21,Fvb7,1000001,1050000,50000,*,20527,31723,0.0084186172910381,CG,AK_FK
22,Fvb7,1050001,1100000,50000,*,18459,28555,-0.0191677178473649,CG,AK_FK
23,Fvb7,1100001,1150000,50000,*,25013,38745,0.013297917172019,CG,AK_FK
24,Fvb7,1150001,1200000,50000,*,16992,30201,0.0966424079445135,CG,AK_FK
25,Fvb7,1200001,1250000,50000,*,17110,26101,-0.0309148517889459,CG,AK_FK
26,Fvb7,1250001,1300000,50000,*,22870,27788,0.000243635451104618,CG,AK_FK
27,Fvb7,1300001,1350000,50000,*,19568,39793,0.0345823977513632,CG,AK_FK
28,Fvb7,1350001,1400000,50000,*,18262,30738,0.0474114429739,CG,AK_FK
29,Fvb7,1400001,1450000,50000,*,16843,34321,0.0525064353454606,CG,AK_FK
30,Fvb7,1450001,1500000,50000,*,15586,31093,-0.0164476647738027,CG,AK_FK
31,Fvb7,1500001,1550000,50000,*,16585,28856,0.0897998470747846,CG,AK_FK
32,Fvb7,1550001,1600000,50000,*,17566,36729,-0.00197442447140705,CG,AK_FK
33,Fvb7,1600001,1650000,50000,*,20526,38418,0.0523888604932646,CG,AK_FK
34,Fvb7,1650001,1700000,50000,*,19695,32934,0.0910608387299527,CG,AK_FK
35,Fvb7,1700001,1750000,50000,*,27151,40080,0.107251015651936,CG,AK_FK
36,Fvb7,1750001,1800000,50000,*,14356,31745,-0.0536038734730974,CG,AK_FK
37,Fvb7,1800001,1850000,50000,*,18997,32989,0.0494695695456464,CG,AK_FK
38,Fvb7,1850001,1900000,50000,*,18934,34964,0.0853897677104511,CG,AK_FK
39,Fvb7,1900001,1950000,50000,*,20933,29526,-0.0170380229132541,CG,AK_FK
40,Fvb7,1950001,2000000,50000,*,15037,30725,0.0594636027293073,CG,AK_FK
41,Fvb7,2000001,2050000,50000,*,16326,24232,0.040834419779431,CG,AK_FK
42,Fvb7,2050001,2100000,50000,*,13346,25800,0.0190119852985257,CG,AK_FK
