,seqnames,start,end,width,strand,sumReadsM,sumReadsN,Propdiff.CHG.Fvb5,context,group
1,Fvb5,1,50000,50000,*,10002,24101,-0.0356913772124484,CHG,AL_FL
2,Fvb5,50001,100000,50000,*,4832,25157,0.0967170444916661,CHG,AL_FL
3,Fvb5,100001,150000,50000,*,855,39167,-0.000981227426804926,CHG,AL_FL
4,Fvb5,150001,200000,50000,*,2131,31458,0.00419628458255332,CHG,AL_FL
5,Fvb5,200001,250000,50000,*,493,34098,0.00268820501257184,CHG,AL_FL
6,Fvb5,250001,300000,50000,*,620,37826,0.00164763004458753,CHG,AL_FL
7,Fvb5,300001,350000,50000,*,268,34642,0.000936283331620288,CHG,AL_FL
8,Fvb5,350001,400000,50000,*,358,38191,-0.0064181047062371,CHG,AL_FL
9,Fvb5,400001,450000,50000,*,448,34205,-0.00294178598532168,CHG,AL_FL
10,Fvb5,450001,500000,50000,*,505,34177,-0.00274933783011489,CHG,AL_FL
11,Fvb5,500001,550000,50000,*,505,32418,-0.00432329784642758,CHG,AL_FL
12,Fvb5,550001,600000,50000,*,1271,27839,0.00373904553574398,CHG,AL_FL
13,Fvb5,600001,650000,50000,*,6667,18530,0.190349697796013,CHG,AL_FL
14,Fvb5,650001,700000,50000,*,1886,37706,0.0353011319135993,CHG,AL_FL
15,Fvb5,700001,750000,50000,*,852,29633,0.000843439162392288,CHG,AL_FL
16,Fvb5,750001,800000,50000,*,5036,35836,0.111819598845339,CHG,AL_FL
17,Fvb5,800001,850000,50000,*,915,34306,-0.00318748678893264,CHG,AL_FL
18,Fvb5,850001,900000,50000,*,1249,27946,0.0140056904493576,CHG,AL_FL
19,Fvb5,900001,950000,50000,*,732,33099,0.0106772618200199,CHG,AL_FL
20,Fvb5,950001,1000000,50000,*,1326,17850,-0.0499136596608304,CHG,AL_FL
21,Fvb5,1000001,1050000,50000,*,4391,12242,-0.333518455115959,CHG,AL_FL
22,Fvb5,1050001,1100000,50000,*,1356,31964,0.0108162870202648,CHG,AL_FL
23,Fvb5,1100001,1150000,50000,*,1717,34163,0.0282403664886784,CHG,AL_FL
24,Fvb5,1150001,1200000,50000,*,1305,35493,7.86339105482425e-06,CHG,AL_FL
25,Fvb5,1200001,1250000,50000,*,3510,27925,0.0523310723506042,CHG,AL_FL
26,Fvb5,1250001,1300000,50000,*,645,33659,0.00352279608199578,CHG,AL_FL
27,Fvb5,1300001,1350000,50000,*,1855,32253,0.000463740929596689,CHG,AL_FL
28,Fvb5,1350001,1400000,50000,*,1065,32950,-0.0112162288869777,CHG,AL_FL
29,Fvb5,1400001,1450000,50000,*,333,31458,-0.000187782516316369,CHG,AL_FL
30,Fvb5,1450001,1500000,50000,*,2722,24721,0.0271168976370918,CHG,AL_FL
