,seqnames,start,end,width,strand,sumReadsM,sumReadsN,Propdiff.CHG.Fvb7,context,group
72,Fvb7,3550001,3600000,50000,*,6040,20803,0.0778513909558779,CHG,AL_FL
73,Fvb7,3600001,3650000,50000,*,3061,21665,0.00644866345563905,CHG,AL_FL
74,Fvb7,3650001,3700000,50000,*,6291,21463,0.0231585300537691,CHG,AL_FL
75,Fvb7,3700001,3750000,50000,*,10090,26675,-0.0163673855984385,CHG,AL_FL
76,Fvb7,3750001,3800000,50000,*,8724,20457,0.0053881156243788,CHG,AL_FL
77,Fvb7,3800001,3850000,50000,*,7286,21371,0.0755819193299231,CHG,AL_FL
78,Fvb7,3850001,3900000,50000,*,3309,19042,-0.0150851831756609,CHG,AL_FL
79,Fvb7,3900001,3950000,50000,*,11114,20026,0.041276035526208,CHG,AL_FL
80,Fvb7,3950001,4000000,50000,*,2481,21990,0.0305144713602287,CHG,AL_FL
81,Fvb7,4000001,4050000,50000,*,7890,12100,0.106370466645064,CHG,AL_FL
82,Fvb7,4050001,4100000,50000,*,11527,19112,0.159120365034941,CHG,AL_FL
83,Fvb7,4100001,4150000,50000,*,3727,7276,-0.247574086372459,CHG,AL_FL
84,Fvb7,4150001,4200000,50000,*,9426,14244,-0.0664106728793507,CHG,AL_FL
85,Fvb7,4200001,4250000,50000,*,4372,22606,-0.0527375906157585,CHG,AL_FL
86,Fvb7,4250001,4300000,50000,*,2303,25211,-0.00925008702883162,CHG,AL_FL
87,Fvb7,4300001,4350000,50000,*,5426,13034,0.100760004423174,CHG,AL_FL
88,Fvb7,4350001,4400000,50000,*,3200,23022,0.0159593744779427,CHG,AL_FL
89,Fvb7,4400001,4450000,50000,*,6054,17673,0.0556077471607286,CHG,AL_FL
90,Fvb7,4450001,4500000,50000,*,3863,22366,0.163278779052316,CHG,AL_FL
91,Fvb7,4500001,4550000,50000,*,5924,15237,-0.16080983076633,CHG,AL_FL
92,Fvb7,4550001,4600000,50000,*,6716,15046,0.000290375505412277,CHG,AL_FL
93,Fvb7,4600001,4650000,50000,*,4839,20890,0.0199827411145719,CHG,AL_FL
94,Fvb7,4650001,4700000,50000,*,7399,19964,0.100747168602907,CHG,AL_FL
95,Fvb7,4700001,4750000,50000,*,6858,19056,-0.0251998209932409,CHG,AL_FL
96,Fvb7,4750001,4800000,50000,*,937,15879,-6.73019162145544e-05,CHG,AL_FL
97,Fvb7,4800001,4850000,50000,*,872,14974,0.0108918069859903,CHG,AL_FL
98,Fvb7,4850001,4900000,50000,*,4586,21734,-0.0219772453831944,CHG,AL_FL
99,Fvb7,4900001,4950000,50000,*,1584,26864,0.0135567237661013,CHG,AL_FL
100,Fvb7,4950001,5000000,50000,*,255,20108,0.00236442710772533,CHG,AL_FL
101,Fvb7,5000001,5050000,50000,*,2534,29664,-0.0379943126732484,CHG,AL_FL
102,Fvb7,5050001,5100000,50000,*,1760,21625,0.0559526086219917,CHG,AL_FL
103,Fvb7,5100001,5150000,50000,*,717,27775,0.00246266279628947,CHG,AL_FL
104,Fvb7,5150001,5200000,50000,*,2360,20493,-0.0159760550388371,CHG,AL_FL
105,Fvb7,5200001,5250000,50000,*,2166,21175,-3.33349605221578e-05,CHG,AL_FL
106,Fvb7,5250001,5300000,50000,*,1301,24240,0.00709914201781246,CHG,AL_FL
107,Fvb7,5300001,5350000,50000,*,2703,23196,0.0153645207589537,CHG,AL_FL
108,Fvb7,5350001,5400000,50000,*,3964,19541,0.148693168860481,CHG,AL_FL
109,Fvb7,5400001,5450000,50000,*,3638,23234,0.123533543769342,CHG,AL_FL
110,Fvb7,5450001,5500000,50000,*,3498,30236,0.0276461513024531,CHG,AL_FL
111,Fvb7,5500001,5550000,50000,*,5165,23842,0.0429443549971859,CHG,AL_FL
112,Fvb7,5550001,5600000,50000,*,4262,22804,0.155609567723118,CHG,AL_FL
113,Fvb7,5600001,5650000,50000,*,1870,18584,-0.0160281018666372,CHG,AL_FL
114,Fvb7,5650001,5700000,50000,*,1023,6906,0.019105563098115,CHG,AL_FL
115,Fvb7,5700001,5750000,50000,*,1808,22396,-0.0179985257982849,CHG,AL_FL
116,Fvb7,5750001,5800000,50000,*,902,31165,-0.0258417325371909,CHG,AL_FL
117,Fvb7,5800001,5850000,50000,*,3436,19757,0.0526553213176399,CHG,AL_FL
118,Fvb7,5850001,5900000,50000,*,493,24643,-0.050250773812377,CHG,AL_FL
119,Fvb7,5900001,5950000,50000,*,12338,21824,0.292765511218756,CHG,AL_FL
120,Fvb7,5950001,6000000,50000,*,5236,23486,0.109462323061131,CHG,AL_FL
121,Fvb7,6000001,6050000,50000,*,6945,18608,0.00958541383065487,CHG,AL_FL
122,Fvb7,6050001,6100000,50000,*,1102,28212,-0.065068457335308,CHG,AL_FL
123,Fvb7,6100001,6150000,50000,*,7797,19742,0.00630626783803284,CHG,AL_FL
124,Fvb7,6150001,6200000,50000,*,3880,20806,0.0116425114976687,CHG,AL_FL
125,Fvb7,6200001,6250000,50000,*,1462,23415,0.00769448297717738,CHG,AL_FL
126,Fvb7,6250001,6300000,50000,*,3454,22519,-0.055661135179891,CHG,AL_FL
127,Fvb7,6300001,6350000,50000,*,2252,6638,0.0655826661943109,CHG,AL_FL
128,Fvb7,6350001,6400000,50000,*,1162,21839,0.0175479799537718,CHG,AL_FL
129,Fvb7,6400001,6450000,50000,*,930,25194,-0.00562661747896765,CHG,AL_FL
130,Fvb7,6450001,6500000,50000,*,5886,18074,-0.0361985039358169,CHG,AL_FL
