Name;NK0HR1;NK0HR2;NK0HR3;NK42DR1;NK42DR2;NK42DR3;NL0HR1;NL0HR2;NL0HR3;NL42DR1;NL42DR2;NL42DR3
FvH4_5g34290;6683;8634;7768;8388;8041;9161;5370;4189;4852;5572;3933;6871
FvH4_1g26480;29;9;35;10;15;13;16;12;12;18;12;29
FvH4_6g16270;95;88;122;141;96;150;195;136;106;929;499;1173
FvH4_1g14470;251;229;240;170;121;231;349;311;229;419;163;369
FvH4_6g53220;2341;2208;2350;1689;1452;1806;951;950;909;1066;929;1353
FvH4_4g08110;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_4g11760;379;367;358;401;317;388;360;212;176;317;301;414
FvH4_6g28280;3;5;4;18;16;5;22;23;46;28;79;66
FvH4_1g02490;4267;3817;4038;6961;4957;6579;2787;2801;2692;1960;2623;2996
FvH4_6g41240;100;78;105;100;76;84;117;48;43;74;31;84
FvH4_5g34280;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_4g23730;177;183;212;373;232;381;144;101;95;138;131;226
FvH4_6g53210;783;712;709;340;246;373;269;152;95;201;8;164
FvH4_4g08100;255;292;251;230;172;258;47;8;13;104;2;71
FvH4_6g53200;211;204;137;53;34;101;25;9;5;28;5;23
FvH4_4g08102;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_4g08101;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_1g26450;188;167;171;198;180;233;66;114;75;112;62;115
FvH4_6g43890;16;11;13;11;7;6;34;16;12;3;22;19
FvH4_1g26451;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_6g28250;2;0;0;2;5;5;0;1;0;1;0;2
FvH4_6g41230;724;639;634;937;761;911;448;413;356;501;494;635
FvH4_6g41210;945;882;854;763;641;818;946;884;850;782;918;1018
FvH4_4g23720;202;189;177;156;114;165;866;650;590;406;393;479
FvH4_5g34270;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_6g16290;167;170;162;155;119;178;180;143;136;191;204;231
FvH4_4g11732;612;540;497;780;630;703;821;1010;767;1019;1302;1310
FvH4_4g11740;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_1g14490;808;761;749;799;585;791;516;448;362;688;644;758
FvH4_6g28260;440;513;357;876;995;882;514;547;512;671;2032;1664
FvH4_6g43880;107;105;118;258;224;270;88;56;57;172;50;211
FvH4_1g26460;15747;14256;13239;12953;11192;12988;10357;6916;5358;6036;4277;6531
FvH4_4g23711;0;0;0;0;0;0;1;0;0;0;0;1
FvH4_6g41220;177;166;133;194;170;216;54;48;56;73;68;128
FvH4_7g29370;0;4;0;0;1;2;188;152;118;288;989;516
FvH4_4g21130;287;239;190;125;103;123;0;4;0;1;0;3
FvH4_4g23791;10;9;9;13;5;5;6;4;0;6;4;4
FvH4_7g30360;0;1;0;0;0;0;0;0;0;0;0;0
FvH4_2g27610;0;0;0;0;0;0;0;0;0;2;0;0
FvH4_5g12870;419;389;441;886;639;996;227;176;145;1048;697;1140
FvH4_4g08160;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_4g23790;2326;2192;2081;5111;4269;5050;982;1051;820;837;1215;897
FvH4_5g36840;279;248;203;281;287;293;120;99;71;88;75;120
FvH4_5g10210;724;589;453;67;71;56;0;0;0;0;0;0
FvH4_4g33120;1254;1192;1053;1487;1483;1671;654;583;453;711;682;987
FvH4_2g15630;673;657;589;668;476;641;684;515;418;544;358;578
FvH4_5g24860;15;16;26;12;20;20;46;59;32;34;44;40
FvH4_5g09220;597;566;543;1101;867;1134;340;243;221;688;417;744
FvH4_6g41290;548;558;470;199;155;204;101;59;32;58;1;49
FvH4_5g22200;63;59;44;121;88;127;83;136;102;80;165;111
FvH4_4g35780;519;507;536;851;662;971;330;311;326;565;288;593
FvH4_1g26430;16;11;26;24;11;35;7;14;19;7;6;10
FvH4_5g00890;0;0;0;0;0;0;0;0;0;0;0;0
