Name;AK0HR1;AK0HR2;AK0HR3;AK42DR1;AK42DR2;AL0HR1;AL0HR2;AL0HR3;AL42DR1;AL42DR2;AL42DR3
FvH4_6g26670;0;0;0;0;0;0;0;0;0;0;0
FvH4_6g00081;135;106;97;159;178;208;149;154;306;214;267
FvH4_5g36250;0;0;0;0;0;0;0;0;0;0;0
FvH4_5g36252;255;243;246;24;33;7;9;14;1;5;2
FvH4_5g36251;0;0;0;0;0;0;0;0;0;0;0
FvH4_7g03331;0;0;0;0;0;0;0;0;0;0;0
FvH4_7g05990;3;1;3;1;2;3;0;0;24;20;6
FvH4_7g03330;1238;1139;1270;251;364;599;485;538;452;437;580
FvH4_4g25380;1682;1674;1617;1558;2283;868;718;724;1173;1040;1234
FvH4_6g36000;7;1;7;1;0;1;0;0;0;0;3
FvH4_6g12050;0;0;2;0;2;2;0;0;0;0;0
FvH4_6g38660;3;5;2;2;1;33;69;90;29;8;39
FvH4_6g24020;29;16;33;58;59;79;67;64;113;112;140
FvH4_5g24272;6;3;10;2;0;10;9;6;4;2;10
FvH4_6g51610;9;13;9;28;47;0;0;0;2;0;0
FvH4_5g24273;0;0;0;0;0;0;0;0;0;0;0
FvH4_5g24270;0;0;0;0;0;0;0;0;1;0;0
FvH4_5g24271;0;0;0;0;0;0;0;0;0;0;0
FvH4_5g24274;0;0;0;0;0;0;0;0;0;0;0
FvH4_7g15300;2692;2627;2487;334;770;473;274;300;197;176;201
FvH4_7g30920;4217;3414;4157;603;929;929;764;876;530;528;690
FvH4_6g00070;81;48;68;1;1;13;21;28;3;6;9
FvH4_6g36050;726;678;651;559;630;484;481;538;425;346;575
FvH4_7g03340;2558;1882;1799;1105;137;962;1072;1130;1891;1122;2593
FvH4_7g29970;709;755;667;689;1256;834;629;703;1105;1610;1834
FvH4_6g12080;625;489;488;407;695;49;11;22;102;83;162
FvH4_7g03341;0;0;0;0;0;0;0;0;0;0;0
FvH4_6g51690;52;57;54;39;32;68;54;52;58;71;76
FvH4_6g48040;10;11;5;10;3;9;17;2;14;21;16
FvH4_7g27310;2;0;0;0;1;0;0;2;0;0;0
FvH4_7g17990;0;0;0;0;0;0;0;0;0;0;0
FvH4_4g37360;3106;2642;2525;2193;1488;1648;1514;1562;2061;1891;1830
FvH4_7g17992;0;1;0;0;0;0;0;2;0;2;0
FvH4_7g15330;1133;1012;1007;592;902;891;753;766;840;619;745
FvH4_7g17991;14;16;12;4;0;45;33;41;9;6;10
FvH4_7g30950;0;0;0;0;0;0;0;0;0;0;0
FvH4_4g37361;115;109;76;30;95;442;369;342;834;1036;1014
FvH4_6g36060;4066;3837;3947;3368;4550;3145;2603;2804;3701;3392;3149
FvH4_7g03350;17;21;13;8;9;6;8;14;4;4;6
FvH4_6g51680;65;60;53;12;6;20;14;26;2;0;2
FvH4_6g48030;8846;9855;9340;13346;16872;3233;2349;2440;5438;5727;6283
FvH4_7g27300;56;35;32;21;9;20;37;50;27;19;18
FvH4_4g37371;210;153;210;129;148;281;176;212;340;238;318
FvH4_4g37370;911;851;773;647;824;649;517;512;729;526;760
FvH4_6g00090;8;13;1;0;0;82;25;44;0;0;0
FvH4_7g17980;0;0;0;0;0;0;0;0;0;0;0
FvH4_6g24080;39;25;23;26;35;22;13;16;17;11;24
FvH4_7g15320;103;115;94;105;140;44;30;32;49;43;51
FvH4_6g24081;0;0;0;0;0;0;0;0;0;0;0
FvH4_6g24082;0;0;0;0;0;0;0;0;0;0;0
FvH4_7g30940;237;199;201;255;309;259;167;184;209;227;237
FvH4_6g36031;0;0;0;0;0;0;0;0;0;0;0
FvH4_6g36030;362;280;289;308;319;513;449;516;475;434;467
FvH4_7g03360;286;265;296;163;293;95;66;68;178;216;178
FvH4_7g29990;0;0;0;0;0;0;0;0;0;0;0
FvH4_6g38690;4;6;5;3;8;36;27;16;33;22;20
FvH4_6g38691;0;0;0;0;0;0;0;0;0;0;0
FvH4_6g36032;3;0;0;0;1;2;0;0;0;0;0
FvH4_6g24053;0;0;0;0;0;0;0;0;0;0;0
FvH4_6g48020;0;0;0;0;0;0;0;0;0;0;0
FvH4_6g24054;0;0;0;0;0;0;0;0;0;0;0
FvH4_6g51660;10;15;16;5;8;3;0;0;4;4;3
FvH4_7g27331;1;7;6;5;5;1;3;4;3;2;1
FvH4_7g15350;394;567;479;103;208;40;44;48;58;129;93
FvH4_7g27330;2233;1978;1833;1871;2773;2078;1361;1525;1777;1027;1351
FvH4_4g37381;311;308;268;266;350;3202;2424;2362;1965;1877;1755
FvH4_4g37380;3266;2920;2929;2764;3433;1746;1330;1428;2005;1682;1821
FvH4_6g24050;1;0;3;1;0;2;1;2;2;0;2
FvH4_6g24051;0;0;0;0;0;0;0;0;0;0;0
FvH4_6g24052;0;0;0;0;0;0;0;0;0;0;0
FvH4_5g36290;4;1;0;0;0;2;0;2;0;0;0
FvH4_6g36040;841;747;811;630;794;598;528;656;625;577;747
FvH4_7g03370;129;117;138;9;16;9;7;2;1;6;8
FvH4_7g29980;209;255;221;503;532;2587;2000;2296;2200;2310;2357
FvH4_6g12090;0;0;0;0;0;0;0;0;0;0;0
FvH4_6g51650;580;525;584;334;308;299;210;246;252;173;257
FvH4_6g48010;915;1037;931;802;1172;325;251;314;612;778;970
FvH4_7g27320;0;0;0;0;0;0;0;0;0;5;1
FvH4_7g30960;0;1;0;0;0;0;0;0;0;0;0
FvH4_6g24060;485;548;513;580;755;1731;1249;1432;1416;1029;1414
FvH4_7g30961;0;0;0;0;0;0;0;0;0;0;0
FvH4_5g38980;0;1;0;0;0;0;0;0;0;0;0
FvH4_2g11540;2;2;2;1;4;0;0;0;4;0;0
FvH4_2g35510;12;12;18;31;50;6;4;4;4;4;10
FvH4_5g36320;0;0;0;0;0;0;0;0;0;0;0
FvH4_5g38981;0;0;0;0;0;0;0;0;0;0;0
FvH4_5g12350;108;26;58;7;4;239;159;129;178;151;142
FvH4_5g36321;0;0;0;0;0;0;0;0;0;0;0
FvH4_5g38982;0;0;0;0;0;0;0;0;0;0;0
FvH4_5g00370;166;184;171;2346;2566;388;136;120;1615;1501;1427
FvH4_2g23530;140;121;106;171;206;137;103;98;68;58;84
FvH4_5g24340;0;0;0;0;0;0;0;0;0;0;0
FvH4_5g24341;0;0;0;0;0;0;0;0;0;0;0
FvH4_5g00371;211;162;179;1320;1284;132;88;118;339;393;582
FvH4_5g12360;86;77;89;49;112;57;25;62;52;24;50
FvH4_2g11550;762;644;709;459;442;654;473;614;383;378;397
FvH4_5g36311;0;0;0;0;0;0;0;0;0;0;0
FvH4_5g38970;789;723;849;668;1127;412;233;289;690;793;886
FvH4_5g36310;10;7;8;0;1;2;2;0;3;0;2
FvH4_5g38971;0;0;0;0;0;0;0;0;0;0;0
FvH4_2g23520;419;375;399;171;93;138;119;106;51;22;77
FvH4_5g26990;180;210;177;95;137;90;82;66;95;94;91
FvH4_3g36490;541;496;433;479;515;341;255;354;472;387;516
FvH4_5g24330;672;624;683;459;525;435;354;378;262;274;328
FvH4_2g35530;0;1;0;8;8;0;2;0;0;3;3
FvH4_2g11560;720;623;650;693;872;522;378;462;691;612;823
FvH4_5g12331;2176;1896;1965;1782;1889;1743;1494;1584;1356;1286;1513
FvH4_5g12330;1082;1120;945;1021;1599;1122;730;844;1577;1436;1586
FvH4_5g36300;77;77;53;24;28;14;36;16;11;13;36
FvH4_5g38960;570;546;548;919;1146;396;357;432;1074;1082;1196
FvH4_5g14990;380;308;255;195;146;421;428;508;265;227;310
FvH4_5g24320;0;0;0;0;0;0;0;0;0;0;0
FvH4_2g23550;713;566;606;397;336;392;324;386;313;150;308
FvH4_5g26980;0;0;0;0;0;0;0;0;0;0;0
FvH4_5g00350;8;16;11;9;20;1;1;0;7;1;4
FvH4_5g00351;3;1;5;5;3;0;0;0;0;3;3
FvH4_2g35520;550;560;436;577;490;433;338;398;364;322;489
FvH4_2g11571;136;151;140;162;240;96;71;80;135;106;140
FvH4_5g38950;897;931;937;715;1049;436;332;352;494;481;440
FvH4_2g11570;1210;1155;1142;679;897;1193;698;734;505;402;319
FvH4_5g12340;3118;2703;2687;2195;2053;2430;1649;1914;1975;1523;1679
FvH4_6g51580;0;0;0;0;0;0;0;0;1;0;0
FvH4_2g23540;403;435;446;393;556;1183;967;1044;1509;1364;1358
FvH4_5g24310;1;0;1;1;1;0;0;0;0;0;0
FvH4_5g26970;197;191;197;55;45;120;135;119;46;33;55
FvH4_5g00360;25;24;21;23;76;41;39;50;45;44;22
FvH4_3g24470;568;563;508;635;871;334;250;284;599;625;724
FvH4_2g11500;0;3;1;10;18;0;0;2;0;0;0
FvH4_5g36360;2;2;0;0;0;0;0;0;1;0;1
FvH4_5g12392;45;15;30;22;29;468;311;386;347;318;360
FvH4_5g12391;0;0;0;0;0;0;0;0;0;1;0
FvH4_5g12390;0;0;0;0;0;0;0;0;0;0;0
FvH4_3g36460;977;597;1048;1018;1225;136;47;66;214;159;132
FvH4_3g12490;822;839;826;512;1039;432;340;350;543;613;414
FvH4_5g24380;373;308;370;177;270;53;34;42;42;48;47
FvH4_2g11510;1852;1726;1699;1480;1747;1531;1134;1272;1282;1135;1182
FvH4_7g03510;0;0;0;0;0;0;0;0;0;0;0
FvH4_3g36450;769;560;869;1183;1676;51;48;20;115;139;134
FvH4_5g24370;0;0;0;0;0;0;0;0;0;0;0
FvH4_2g11520;583;637;538;889;1222;444;313;330;719;585;752
FvH4_1g24390;617;530;573;552;603;344;278;298;466;456;556
FvH4_5g36340;0;0;0;0;0;0;0;0;0;0;0
