Name;AK0HR1;AK0HR2;AK0HR3;AK42DR1;AK42DR2;AL0HR1;AL0HR2;AL0HR3;AL42DR1;AL42DR2;AL42DR3
FvH4_7g33470;0;0;0;0;0;0;0;0;0;0;0
FvH4_1g18880;0;0;0;0;1;0;0;0;0;0;2
FvH4_4g06380;240;165;141;79;38;209;232;246;110;90;244
FvH4_4g31340;810;766;777;324;498;288;173;206;478;404;429
FvH4_4g31341;0;0;0;0;0;0;0;0;0;0;0
FvH4_6g08621;0;0;0;0;0;0;0;0;0;0;0
FvH4_7g21490;0;0;0;0;0;0;0;0;0;0;0
FvH4_6g08620;100;69;78;43;19;144;120;144;88;64;120
FvH4_6g08622;0;0;0;0;0;0;0;0;0;0;0
FvH4_1g28210;0;0;0;0;0;0;0;0;1;0;0
FvH4_2g41080;338;270;275;532;545;199;189;198;659;498;882
FvH4_1g04240;269;266;278;114;120;7;14;12;16;7;18
FvH4_4g18360;125;112;109;36;56;55;45;62;34;54;51
FvH4_7g33460;2862;2440;2358;3619;3617;2084;2041;2351;2309;1867;2481
FvH4_1g16210;636;519;549;879;664;1257;878;888;1167;887;1375
FvH4_1g18870;6;3;5;3;1;5;0;0;1;3;3
FvH4_1g16212;638;617;626;987;929;2734;1404;1544;1909;2219;1620
FvH4_1g16211;119;111;139;82;156;90;49;56;113;133;81
FvH4_4g06370;249;185;217;251;293;125;89;104;167;159;206
FvH4_4g31350;1714;1735;1622;511;1301;124;142;142;476;775;1109
FvH4_6g08610;3689;3339;3106;3854;5559;772;535;642;1793;1460;3546
FvH4_6g08611;1361;1336;1270;867;733;1066;718;720;514;423;561
FvH4_7g21480;0;0;0;0;0;0;0;0;0;0;0
FvH4_2g41090;24;39;21;16;6;201;126;126;94;62;73
FvH4_1g28220;0;2;2;0;0;3;1;0;1;0;1
FvH4_1g06890;46;54;55;0;0;0;0;0;0;1;0
FvH4_1g04230;1362;1260;1141;763;777;653;574;580;406;313;493
FvH4_4g21990;1493;1450;1384;765;1097;1322;957;1006;976;941;1010
FvH4_1g04260;0;0;0;0;0;3;0;2;0;3;0
FvH4_7g33490;168;180;165;179;185;169;116;159;213;205;231
FvH4_4g21991;772;712;646;634;779;745;605;624;748;645;745
FvH4_1g16240;575;563;555;270;551;998;475;526;562;635;529
FvH4_4g06360;18;18;16;9;14;4;2;6;3;11;1
FvH4_4g31360;654;647;564;364;409;122;29;40;105;60;59
FvH4_6g08641;0;0;0;0;0;0;0;0;0;0;0
FvH4_4g18342;1056;654;820;103;115;359;422;488;796;508;1432
FvH4_6g08640;1135;973;1002;817;1040;885;779;936;1464;1086;1763
FvH4_4g18341;0;0;0;0;0;0;0;0;0;0;0
FvH4_4g18340;315;294;329;73;50;16;21;22;23;16;32
FvH4_2g41060;610;573;725;84;155;337;149;178;298;316;265
FvH4_7g33480;0;0;0;0;0;0;1;0;0;0;0
FvH4_4g21980;21;14;16;9;12;32;25;38;41;37;70
FvH4_4g21981;577;582;582;521;508;636;440;528;521;367;437
FvH4_1g16231;0;0;0;0;0;0;0;0;0;0;0
FvH4_1g16230;47;83;87;4;12;124;116;114;105;174;220
FvH4_1g18891;924;1118;926;620;1623;359;191;198;112;209;259
FvH4_1g18892;0;0;0;0;0;0;0;0;0;0;0
FvH4_1g18893;0;0;0;0;0;0;0;0;0;0;0
FvH4_4g31370;423;394;352;295;279;353;298;374;326;361;349
FvH4_4g06350;6;3;16;7;9;3;2;6;2;1;3
FvH4_1g18890;374;342;344;231;331;275;193;234;245;230;274
FvH4_1g28200;658;633;620;709;990;1085;871;908;1069;961;1072
FvH4_6g08630;7;6;1;3;1;7;7;8;4;1;1
FvH4_1g04250;1611;1469;1574;967;1259;4371;2823;3316;1563;1452;1862
FvH4_4g18330;450;398;431;568;697;273;192;264;463;419;561
FvH4_1g28201;1;0;0;0;0;0;0;0;0;0;0
FvH4_2g41070;12;14;6;2;8;22;6;16;35;16;7
FvH4_3g18500;4140;3810;3753;1535;1893;1422;967;1120;1029;984;1064
FvH4_6g45600;0;0;1;0;0;0;0;0;1;0;1
FvH4_6g21630;2126;1972;1924;2105;2741;1587;1287;1386;1853;1767;2018
FvH4_1g18840;33;33;19;26;48;16;6;13;12;11;25
FvH4_2g16080;0;0;0;0;0;3;3;4;10;12;7
FvH4_4g33960;583;571;523;264;505;389;543;540;117;138;131
FvH4_4g31300;0;0;2;2;2;314;238;266;210;134;187
FvH4_2g04090;13;16;7;12;18;34;21;26;5;4;1
FvH4_1g04200;0;0;0;0;0;0;0;0;0;0;1
FvH4_6g21640;237;436;432;28621;17796;92;26;24;721;553;256
FvH4_6g06000;546;561;486;498;555;1549;1388;1420;1626;1420;1636
FvH4_2g28060;254;217;201;157;138;121;105;92;131;123;159
FvH4_1g06860;322;274;285;277;297;289;193;186;275;276;224
FvH4_3g06513;231;232;226;130;159;108;43;28;32;38;5
FvH4_3g06511;589;512;475;3765;3171;308;193;172;3597;3766;2571
FvH4_4g18390;0;0;0;0;0;0;0;0;1;0;0
FvH4_3g06512;2;0;1;10;12;2425;1193;1316;646;563;196
FvH4_6g21641;55;59;62;17;39;22;26;8;14;7;5
FvH4_6g21642;0;0;0;0;2;1;0;0;2;0;2
FvH4_1g18830;328;323;317;268;329;185;136;134;166;145;211
FvH4_1g18831;7;7;5;4;4;1;4;0;2;4;5
FvH4_6g33630;0;0;0;0;0;0;0;0;0;0;0
FvH4_3g06510;0;6;3;40;57;2;5;0;67;61;58
FvH4_2g16070;108;115;102;259;520;3205;2106;2124;3035;2864;2762
FvH4_4g33970;7;9;8;20;13;722;429;488;309;185;193
FvH4_4g31310;37;39;30;84;108;29;21;28;117;200;224
FvH4_1g06851;1;2;0;1;1;3;5;0;4;4;2
FvH4_6g08650;314;244;236;366;372;1784;1428;1572;163;125;265
FvH4_6g21650;3;7;3;0;0;0;0;0;0;0;0
FvH4_1g06850;194;102;77;26;10;996;824;988;330;208;380
FvH4_6g21651;0;0;0;0;0;0;0;0;0;0;0
FvH4_2g28050;0;3;0;0;0;0;0;0;0;0;1
FvH4_2g41050;775;775;884;4049;3665;326;145;188;1323;1657;1290
FvH4_4g18381;3;2;9;1;0;0;0;0;1;3;1
FvH4_4g18380;0;0;0;1;0;0;1;0;0;0;1
FvH4_3g06500;1059;921;822;708;800;676;507;486;599;638;687
FvH4_6g21610;0;0;0;0;0;0;0;0;0;0;0
FvH4_6g18000;236;238;228;417;727;83;50;42;191;154;133
FvH4_1g16200;346;288;253;118;133;109;111;114;88;91;111
FvH4_4g33980;6334;6447;6264;8764;8587;6066;4400;4850;5358;4490;4347
FvH4_2g41020;930;855;869;970;1143;552;441;456;740;645;933
FvH4_4g31320;868;929;826;9;15;57;33;28;35;35;19
FvH4_1g04221;226;191;226;165;194;141;108;86;79;67;93
FvH4_6g06020;300;297;303;390;602;378;246;276;397;490;549
FvH4_2g28081;67;65;55;78;123;40;19;42;65;77;98
FvH4_2g28080;0;0;0;0;0;0;0;0;0;0;0
FvH4_1g06880;0;0;0;0;0;0;0;0;0;0;0
FvH4_2g28082;0;0;0;0;0;0;0;0;0;0;0
FvH4_1g04220;593;555;508;706;894;350;300;298;596;445;649
FvH4_6g08680;0;0;0;0;0;0;0;0;0;0;0
FvH4_6g21620;363;328;311;562;499;233;186;190;424;401;377
FvH4_4g06390;0;0;0;0;0;0;0;0;0;0;0
FvH4_1g18850;5153;4529;4026;895;239;2461;2039;2170;189;116;170
FvH4_4g06391;0;0;0;0;0;0;0;0;0;0;0
FvH4_6g33603;0;0;0;0;0;0;0;0;0;0;0
FvH4_6g33602;82;76;67;160;252;4;0;0;5;1;8
FvH4_2g41030;3;4;9;57;124;0;0;0;1;1;4
FvH4_4g33990;751;765;702;446;421;577;438;520;392;248;371
FvH4_6g33604;20;32;13;10;43;21;9;12;32;24;31
FvH4_4g31330;1534;1545;1481;3069;3990;812;566;736;1637;1632;2008
FvH4_6g33601;0;0;0;0;0;0;0;0;0;0;0
FvH4_6g33600;0;0;0;0;0;0;0;0;0;0;0
FvH4_1g04210;375;450;312;155;115;1401;1541;1812;1495;833;2097
FvH4_6g06010;618;494;536;590;483;500;387;376;397;275;316
FvH4_2g28070;43;35;23;14;34;3;7;12;4;0;10
FvH4_6g08670;311;302;230;335;415;303;282;282;401;285;441
FvH4_1g06870;748;709;642;500;440;452;362;416;393;227;410
FvH4_7g08430;424;437;442;400;571;358;254;262;444;527;614
FvH4_1g18800;0;0;0;0;0;0;2;2;0;2;0
FvH4_1g18801;4;10;7;0;0;39;36;34;12;4;8
FvH4_5g06191;0;3;0;1;3;0;0;0;0;0;0
FvH4_6g18020;0;0;0;0;0;0;0;0;0;0;0
FvH4_5g06192;0;0;0;1;0;0;0;0;0;0;0
FvH4_6g33660;357;311;349;247;329;2902;2404;2510;1511;1127;1763
FvH4_7g21402;0;0;0;0;0;0;0;0;0;0;0
FvH4_6g31000;907;854;784;1915;1713;903;693;812;1505;1338;1425
FvH4_5g06190;0;0;0;0;0;1;0;0;0;0;2
FvH4_7g21401;0;0;0;0;0;0;0;0;0;0;0
FvH4_7g21400;0;0;0;0;1;2680;2030;2076;822;738;845
FvH4_5g06193;0;0;0;0;0;0;0;0;0;0;0
FvH4_5g06194;0;0;0;0;0;0;0;0;0;0;0
FvH4_5g31150;0;0;0;0;0;0;0;0;0;0;0
FvH4_6g45650;1;0;3;3;9;30;12;12;27;50;4
FvH4_1g06820;2239;2172;1897;2695;1993;2264;2249;2408;1687;1700;1940
FvH4_5g18170;93;104;107;57;61;74;45;36;70;56;20
FvH4_6g21680;31;40;39;13;33;12;6;10;12;20;5
FvH4_6g06040;0;0;0;0;0;0;0;0;0;0;0
FvH4_6g06041;2;1;1;2;2;1;6;0;2;3;8
FvH4_7g08440;472;628;606;352;575;1327;789;830;347;259;505
FvH4_6g31010;3626;3210;3170;2446;3512;2751;2129;2284;2230;1518;1892
FvH4_6g33670;774;732;742;735;1104;486;383;362;617;627;700
FvH4_6g18010;1;0;0;0;0;0;2;0;1;2;1
FvH4_1g06811;0;0;0;0;0;0;0;0;0;0;0
FvH4_1g06810;247;257;240;757;791;278;158;230;614;693;671
FvH4_1g06812;0;0;0;0;0;0;0;0;0;0;0
FvH4_5g18180;0;0;0;0;0;0;0;0;0;0;0
FvH4_6g45640;1021;917;836;202;262;2387;1565;1748;215;194;380
FvH4_5g18181;0;2;0;0;0;0;0;0;0;0;0
FvH4_6g08690;5;7;5;3;6;5;5;0;4;4;12
FvH4_6g21690;11;3;7;1;0;0;0;0;0;0;0
FvH4_6g06030;1204;1073;1100;582;784;714;489;590;683;568;698
FvH4_7g08450;0;0;0;0;0;0;0;0;0;0;0
FvH4_5g18151;4537;4298;3893;3767;4273;2005;1803;1922;2454;1837;2672
FvH4_5g18150;9369;9323;8584;13517;18132;3969;2547;2778;7882;6781;8090
FvH4_6g21652;0;0;0;0;0;0;0;0;0;0;1
FvH4_5g06170;149;157;133;165;224;106;49;64;130;135;100
FvH4_6g18041;0;0;0;0;0;0;0;0;0;0;0
FvH4_1g18820;1254;1200;1291;814;1017;955;645;680;1153;934;1123
FvH4_6g18040;227;209;229;98;181;28;23;20;30;19;18
FvH4_6g33640;7373;7844;7598;2544;3934;1228;966;970;1910;1982;2403
FvH4_5g31131;0;0;0;0;0;0;0;0;1;0;0
FvH4_7g21430;0;0;0;0;0;0;0;0;0;0;0
FvH4_5g31132;0;0;0;1;0;0;0;0;0;0;0
FvH4_5g31130;0;0;0;0;0;0;0;0;0;0;0
FvH4_5g33791;0;0;0;0;0;0;0;0;0;0;0
FvH4_6g33631;0;2;1;0;0;0;2;0;0;0;0
FvH4_5g33790;5974;5831;5845;2016;2533;808;587;682;913;716;930
FvH4_1g06840;0;0;0;0;0;2;2;4;0;0;0
FvH4_6g45630;0;0;0;0;0;0;0;0;0;0;0
FvH4_1g06841;375;387;374;423;607;205;169;152;329;280;376
FvH4_6g21660;246;195;238;1065;405;593;304;368;2073;945;1145
FvH4_6g06060;6;3;0;35;14;1;2;0;4;4;20
FvH4_6g06061;0;0;0;0;0;0;0;0;0;0;0
FvH4_7g33400;1511;1346;1314;1515;1307;1737;1351;1410;1899;1296;1483
FvH4_6g45610;274;297;305;269;494;251;179;174;291;333;332
FvH4_7g08460;0;0;0;0;0;0;0;0;0;0;0
FvH4_5g06180;825;1040;925;1456;1230;142;116;134;243;460;349
FvH4_6g33650;0;0;0;0;0;0;0;0;0;0;0
FvH4_5g06181;0;0;0;0;0;0;0;0;0;2;0
FvH4_6g18030;108;85;58;87;67;48;47;56;37;40;55
FvH4_6g33652;0;0;0;0;0;0;0;0;0;0;0
FvH4_1g18810;567;612;479;1121;1612;479;281;376;979;761;919
FvH4_6g33651;0;0;0;0;0;0;0;0;0;0;0
FvH4_2g06700;0;0;0;0;0;0;0;0;0;0;0
FvH4_5g31120;1908;1719;1588;1372;1572;1291;993;1100;1145;1018;1242
FvH4_5g33781;0;0;0;0;0;0;0;0;0;0;0
FvH4_5g33780;142;138;81;484;469;31;73;84;348;495;657
FvH4_6g21672;0;0;0;0;0;0;0;0;0;0;0
FvH4_5g18160;528;453;403;138;141;110;153;150;169;81;179
FvH4_6g21670;5222;5489;5701;34081;37771;1405;804;920;6948;4022;2388
FvH4_1g06830;174;184;144;87;115;182;158;168;134;101;130
FvH4_6g21671;0;0;0;0;0;0;0;0;0;0;0
FvH4_6g45620;806;814;719;217;254;1330;1079;1138;279;127;355
FvH4_6g06050;80;58;61;128;98;31;33;52;65;56;66
FvH4_6g06051;0;0;2;0;0;0;0;0;0;0;0
FvH4_6g06080;900;818;831;614;903;490;272;334;437;275;442
FvH4_7g33430;223;184;181;279;335;103;63;68;205;164;181
FvH4_7g08470;585;623;544;399;477;666;556;666;503;313;455
FvH4_6g18063;57;60;47;83;54;373;290;286;230;178;194
FvH4_6g18062;0;0;0;0;0;0;0;0;0;0;0
FvH4_6g18061;0;0;0;0;0;0;0;0;0;0;0
FvH4_6g31040;1727;863;1337;116;225;22;6;6;20;22;10
FvH4_6g18060;15;14;20;19;23;0;0;0;1;1;0
FvH4_6g43030;79;43;63;49;64;94;66;66;189;117;108
FvH4_5g31190;100;136;109;71;92;10;9;8;21;9;13
FvH4_6g45690;3587;3846;3706;4175;6900;3338;2440;2576;2398;2758;2871
FvH4_4g31380;0;0;0;0;0;0;0;0;0;0;0
FvH4_6g06070;2;0;0;0;2;0;0;0;0;0;0
FvH4_7g33420;358;380;432;434;470;792;609;684;985;927;802
FvH4_7g08480;27;36;29;28;49;37;29;30;26;10;16
FvH4_6g18050;5;5;4;1;0;0;0;0;1;1;0
FvH4_6g31050;1;2;0;0;1;2;1;2;1;0;0
FvH4_7g21440;0;0;0;0;0;0;0;0;0;0;0
FvH4_5g31180;2;2;0;0;1;0;0;0;1;1;2
FvH4_6g43020;171;84;118;21;27;80;85;112;66;46;49
FvH4_7g33410;0;0;0;0;0;0;0;0;0;0;0
FvH4_6g45680;37;37;29;881;976;143;107;122;781;603;510
FvH4_4g31390;0;0;1;0;0;4;3;0;0;0;0
FvH4_7g33450;27;24;20;50;76;10;14;16;31;37;43
FvH4_7g08490;0;0;0;0;0;0;0;0;0;0;0
FvH4_6g31020;50;69;43;76;325;26;11;26;182;204;92
FvH4_6g33681;0;0;0;0;0;0;0;0;0;0;0
FvH4_6g33680;17;16;32;34;51;20;26;10;44;39;50
FvH4_1g06800;37;33;24;69;63;250;239;240;485;442;394
FvH4_5g31171;0;0;0;0;0;0;0;0;0;0;0
FvH4_5g18190;155;118;103;7;6;503;330;354;79;52;40
FvH4_5g31170;2;2;3;2;8;0;0;0;0;0;0
FvH4_6g45670;401;394;337;439;517;229;159;176;353;289;373
FvH4_6g06090;1543;945;1271;377;762;1290;930;970;729;680;396
FvH4_7g33440;0;0;0;0;0;0;0;0;0;0;0
FvH4_7g21461;0;0;0;0;0;0;0;0;0;0;0
FvH4_7g21460;0;0;0;0;0;0;0;0;0;0;0
FvH4_5g31160;6;4;8;0;20;2;0;0;0;0;0
FvH4_6g45660;76;40;33;16;18;54;62;86;120;142;94
FvH4_5g18210;211;209;180;392;713;911;717;730;992;1002;1298
FvH4_2g06630;0;0;0;0;0;0;0;0;0;0;0
FvH4_c1g00130;187;208;205;144;128;54;67;102;99;82;71
FvH4_3g43470;9;10;6;16;12;8;14;12;21;13;15
FvH4_5g33841;229;189;214;340;458;11;21;26;86;64;69
FvH4_5g33851;0;0;0;0;0;0;0;0;0;0;0
FvH4_5g33850;1;0;0;0;0;0;0;0;0;0;2
FvH4_5g06230;2;4;1;0;0;2;4;6;3;2;0
FvH4_3g31490;623;598;563;465;461;313;278;328;355;227;296
FvH4_3g31491;0;0;0;0;0;0;0;0;0;0;0
FvH4_5g08890;1;0;1;0;1;0;0;0;0;0;0
FvH4_2g18620;422;412;426;420;495;277;200;222;402;348;466
FvH4_5g21870;1350;1117;1127;698;931;1186;881;1036;924;757;948
FvH4_5g21871;0;0;0;0;0;0;0;0;0;0;0
FvH4_2g06640;0;0;0;0;0;0;0;0;0;0;0
FvH4_5g18220;2367;2287;2175;2611;3150;1613;1258;1316;2874;2114;2823
FvH4_3g43460;83;54;62;59;128;24;15;18;48;61;68
FvH4_5g33830;0;0;0;0;0;0;0;0;0;0;0
FvH4_5g33840;11;11;18;15;21;1;2;0;6;1;1
FvH4_2g18610;0;0;0;0;0;0;0;0;0;0;0
FvH4_3g31480;0;0;0;0;0;0;0;0;0;0;0
FvH4_5g06240;0;0;0;0;0;0;0;0;0;0;0
FvH4_5g21860;1;0;0;0;0;0;0;0;0;0;0
FvH4_5g21840;412;406;410;273;325;273;208;188;213;256;209
FvH4_2g31610;2897;2949;3040;293;488;1023;702;836;992;901;869
FvH4_3g43490;460;540;305;136;436;4004;2702;2982;1220;1040;406
FvH4_2g06650;173;121;122;151;100;82;82;64;137;108;175
FvH4_5g33820;1110;1057;1094;1935;2307;2445;1881;2116;4530;4056;4219
FvH4_2g18640;22;11;12;5;6;26;33;24;17;8;10
FvH4_5g06210;586;456;564;240;99;2176;1725;1872;2828;777;358
FvH4_6g45590;29;61;5;0;3;100;62;86;0;0;0
FvH4_2g31600;492;513;459;243;259;235;180;204;213;161;200
FvH4_6g45591;10;11;3;2;3;382;176;240;295;725;877
FvH4_5g21830;0;0;0;0;0;0;0;0;1;12;16
FvH4_5g18200;485;448;426;278;431;403;329;378;387;396;364
FvH4_2g06660;5730;5856;5798;11643;16854;1277;980;1056;3778;4245;5843
FvH4_3g43480;1031;994;1110;1132;1838;442;331;420;1251;932;1128
FvH4_5g33810;1096;942;1002;88;83;910;677;760;435;532;298
FvH4_5g06220;423;249;282;94;30;3558;2501;2550;15163;6448;2183
FvH4_5g08881;0;0;0;0;0;0;0;0;0;0;0
FvH4_3g06490;1303;1261;1273;2008;2770;737;497;596;1423;1442;1887
FvH4_5g08880;0;0;0;0;0;0;0;0;0;0;0
FvH4_2g18630;278;253;245;593;788;206;135;122;549;667;602
FvH4_6g45580;365;300;324;362;335;314;264;326;471;362;371
FvH4_3g18470;0;0;0;0;0;0;0;0;0;0;0
FvH4_5g31230;467;476;423;466;566;389;273;326;352;302;336
FvH4_5g33890;4;1;3;6;4;2;8;2;11;27;27
FvH4_5g06270;7123;6775;6578;8674;9529;4310;2846;3006;5524;6353;5063
FvH4_3g31450;2231;2247;2046;3524;3446;17700;17648;18576;26628;19861;22448
FvH4_5g18260;5;6;5;2;14;220;190;226;802;1080;456
FvH4_3g18481;4;3;5;2;4;2;0;0;2;0;0
FvH4_3g18480;0;0;0;0;0;0;0;0;0;0;0
FvH4_5g06280;686;694;613;502;657;336;256;234;426;346;444
FvH4_2g06600;80;76;75;78;105;63;52;50;78;76;82
FvH4_7g08400;0;0;0;0;0;0;0;0;0;0;0
FvH4_5g33880;1084;937;1033;943;973;767;591;656;578;859;1003
FvH4_3g31440;466;396;379;442;506;368;250;320;409;306;463
FvH4_3g31441;0;0;0;0;0;0;0;0;1;0;0
FvH4_3g31442;0;1;0;0;0;0;0;4;2;1;1
FvH4_5g18231;0;0;0;0;0;0;0;0;0;0;0
FvH4_2g06610;0;0;0;0;0;0;0;0;0;0;0
FvH4_3g18490;0;0;0;0;0;0;0;0;0;0;0
FvH4_5g18230;6;11;4;997;1247;11;8;8;496;994;901
FvH4_3g18491;0;0;0;0;0;0;0;0;0;0;0
FvH4_7g08410;143;165;158;108;194;192;123;124;128;111;116
FvH4_5g33871;0;0;0;0;0;0;0;0;0;0;0
FvH4_5g33870;0;0;0;0;0;0;0;0;0;0;0
FvH4_2g18600;372;318;255;215;257;1147;992;1094;505;405;634
FvH4_5g06250;567;494;635;485;630;351;269;316;330;384;339
FvH4_3g31470;0;0;0;0;0;0;0;0;0;0;0
FvH4_2g18601;0;0;0;0;0;0;0;0;0;0;0
FvH4_3g31471;5;9;16;12;25;9;5;13;21;15;13
FvH4_5g21890;1839;1960;1810;2022;2523;716;527;588;891;762;716
FvH4_2g06620;4;2;5;0;0;35;93;116;1;1;0
FvH4_7g08420;1;0;0;1;0;0;2;4;1;4;2
FvH4_5g18240;0;0;0;0;0;0;0;0;0;0;0
FvH4_3g43440;27;25;33;12;36;58;7;10;57;32;2
FvH4_5g33852;0;0;0;0;0;0;0;0;0;0;0
FvH4_5g31200;136;128;119;101;142;147;107;140;169;75;84
FvH4_5g33860;720;678;621;622;641;566;355;416;474;278;342
FvH4_5g06260;179;209;187;464;642;22;15;22;156;123;204
FvH4_3g31460;295;274;230;246;250;179;152;156;146;152;180
FvH4_5g21880;623;554;649;732;897;5613;3969;4336;5158;4159;4360
FvH4_1g28290;86;66;65;166;187;84;68;106;126;143;152
FvH4_2g28021;159;197;173;220;265;123;121;106;123;129;129
FvH4_2g28020;1148;1057;1057;868;1134;1102;824;968;750;575;835
FvH4_3g06440;980;820;859;840;1094;942;701;726;921;725;864
FvH4_2g16040;2;0;1;0;0;0;0;0;0;0;0
FvH4_2g41000;3176;2982;2833;2904;3930;2372;1918;1968;2963;2546;3072
FvH4_2g41001;0;1;0;0;1;0;0;0;0;0;0
FvH4_4g06420;3415;2819;2873;155;128;52;30;20;7;3;2
FvH4_4g18400;1226;1119;1122;2064;2618;956;792;754;1471;1468;1592
FvH4_3g18430;4751;4610;4275;2409;2382;1278;1128;1188;2500;2046;2591
FvH4_5g08812;119;115;116;108;152;106;88;80;180;128;150
FvH4_2g04050;134;143;123;156;97;153;122;134;80;72;158
FvH4_3g31410;601;571;599;527;447;323;265;278;319;258;442
FvH4_5g08811;96;95;142;117;143;71;61;64;97;120;123
FvH4_5g08810;468;441;382;298;374;287;177;272;240;208;263
FvH4_2g28010;15;16;23;2;1;244;123;138;36;25;1
FvH4_2g31660;3720;3012;3033;1300;589;182;138;146;46;28;47
FvH4_2g31661;3;3;6;2;0;0;0;0;0;0;0
FvH4_3g06430;376;451;329;90;93;59;111;118;168;97;223
FvH4_2g16030;0;0;0;0;0;0;0;0;0;0;0
FvH4_4g06410;0;0;0;0;0;0;0;0;0;0;0
FvH4_4g06411;0;0;0;0;0;0;0;0;0;0;0
FvH4_4g06412;2;0;3;0;0;0;0;0;0;0;0
FvH4_3g18440;339;310;327;274;257;686;566;610;464;488;527
FvH4_5g08822;0;0;0;0;0;0;0;0;0;0;0
FvH4_2g04060;226;210;185;77;70;130;108;96;52;46;43
FvH4_3g31400;0;0;0;0;0;0;0;0;0;0;0
FvH4_5g08821;0;0;0;0;0;0;0;0;0;0;0
FvH4_5g08820;0;0;0;0;0;0;0;0;0;0;0
FvH4_1g28270;0;0;0;0;1;0;0;0;0;0;0
FvH4_2g31690;445;396;425;300;453;180;123;164;334;248;274
FvH4_3g06420;1926;1773;1578;1829;1807;1724;1767;1954;1825;1829;2148
FvH4_3g43403;0;0;0;0;0;0;0;0;0;0;0
FvH4_3g43402;0;0;0;0;0;0;0;0;0;0;0
FvH4_3g43405;0;1;0;0;0;0;0;0;0;0;0
FvH4_3g43404;0;1;0;0;0;1;0;2;0;0;0
FvH4_3g18450;1679;1679;1469;1480;1917;645;474;498;987;887;1251
FvH4_4g06400;0;0;0;0;0;0;0;0;1;0;0
FvH4_3g18451;0;0;0;0;0;0;0;0;0;0;0
FvH4_3g31430;0;0;0;0;0;0;0;0;0;0;0
FvH4_2g28040;1;5;3;1;12;0;0;2;1;4;1
FvH4_1g28280;269;210;216;252;293;387;284;358;265;210;281
FvH4_2g31680;1447;1158;1111;285;140;60;57;88;20;19;12
FvH4_4g31400;59;57;44;18;14;34;23;36;24;14;15
FvH4_2g16050;13;13;15;7;9;48;45;32;24;4;14
FvH4_3g06410;320;337;304;544;720;1457;1019;1156;1344;1344;984
FvH4_2g16051;0;0;0;0;0;0;0;0;0;0;0
FvH4_3g43401;0;2;0;0;0;0;0;0;0;0;0
FvH4_3g43400;0;0;0;0;0;0;0;0;0;0;0
FvH4_2g16054;620;644;704;593;1371;514;100;130;899;1276;498
FvH4_2g16055;0;0;0;0;0;0;0;0;0;0;0
FvH4_2g16052;549;671;579;57;6;200;331;284;32;3;5
FvH4_2g16053;4;2;4;0;0;0;0;0;0;1;0
FvH4_3g18460;0;0;0;0;0;0;0;0;0;0;0
FvH4_5g08801;0;0;0;0;0;0;0;0;0;0;0
FvH4_5g08800;0;0;0;0;0;0;0;0;0;0;0
FvH4_2g28030;143;167;131;263;259;176;135;160;246;194;247
FvH4_2g04080;495;457;421;132;136;188;207;166;225;185;292
FvH4_3g31420;15;17;7;24;18;4;13;5;11;7;10
FvH4_2g04010;0;0;0;0;0;0;0;0;0;0;0
FvH4_1g04280;0;0;0;0;0;0;0;0;0;0;0
FvH4_2g31630;1051;939;929;1154;1235;69;62;76;756;1022;683
FvH4_1g04281;0;0;0;0;0;0;0;0;0;0;0
FvH4_5g21820;0;0;0;0;0;0;0;0;0;2;0
FvH4_2g06670;875;769;886;267;328;131;78;102;134;205;132
FvH4_2g06671;4;4;3;10;15;0;0;0;6;0;6
FvH4_5g08849;0;5;3;6;8;4;0;2;4;10;12
FvH4_5g33800;1030;1103;958;622;1557;24;7;14;89;94;92
FvH4_2g16000;708;218;1079;25;23;1375;586;572;230;119;173
FvH4_2g18660;157;128;119;91;44;62;56;58;51;35;51
FvH4_4g06460;2006;1900;1981;2594;3681;1207;698;820;2484;2124;2465
FvH4_1g16261;0;0;0;0;0;0;0;0;1;0;0
FvH4_1g16260;199;159;187;113;163;258;177;194;219;174;204
FvH4_3g06480;1896;1678;1643;2045;1593;1701;1709;1674;1351;1307;1548
FvH4_2g04020;71;69;61;49;65;254;213;182;205;212;197
FvH4_1g04270;0;0;0;0;0;0;0;0;0;0;0
FvH4_2g31620;2;0;0;0;0;0;0;0;0;0;0
FvH4_1g04271;0;0;0;0;0;0;0;0;0;0;0
FvH4_2g31621;0;0;0;0;0;0;0;0;0;0;0
FvH4_5g21810;0;0;0;0;0;0;0;0;0;0;0
FvH4_2g06680;317;332;321;339;550;182;123;120;301;247;252
FvH4_1g28260;1516;1472;1410;1570;2004;699;515;576;1146;1109;1445
FvH4_3g06470;176;178;170;201;220;587;382;380;454;223;365
FvH4_2g18651;0;0;0;0;0;0;0;0;0;0;0
FvH4_2g18650;704;707;664;635;921;791;583;562;1144;985;952
FvH4_4g06450;102;88;77;52;71;95;93;96;85;82;76
FvH4_1g16250;1029;948;856;1218;1475;658;481;628;807;720;1168
FvH4_4g18430;0;1;0;0;0;0;0;0;0;0;0
FvH4_1g04272;0;0;0;0;0;0;0;0;0;0;0
FvH4_2g04031;2;0;1;0;0;0;0;0;0;0;0
FvH4_2g04030;1;0;3;0;0;0;0;0;0;0;0
FvH4_2g28000;1259;1091;1040;580;799;1124;859;946;634;511;579
FvH4_5g21800;0;0;0;0;0;0;0;0;0;0;0
FvH4_2g31650;90;102;58;6;11;47;91;96;22;10;27
