Name;FK0HR1;FK0HR2;FK0HR3;FK42DR1;FK42DR2;FK42DR3;FL0HR1;FL0HR2;FL0HR3;FL42DR1;FL42DR2;FL42DR3
FvH4_4g10330;0;0;0;0;0;1;0;0;0;0;0;0
FvH4_4g09340;8363;7938;8800;2364;2019;2378;553;977;426;133;244;96
FvH4_7g16190;1175;1025;1151;517;339;451;9965;6402;12331;3724;2411;3760
FvH4_4g09342;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_4g12990;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_3g33160;394;325;413;246;173;147;187;242;242;249;253;224
FvH4_4g10331;1;0;0;1;0;0;0;0;0;0;0;0
FvH4_6g42470;4;2;5;1;0;3;0;0;0;1;0;0
FvH4_1g03680;59;63;52;18;29;32;21;10;19;2;2;1
FvH4_1g01020;193;175;189;860;706;517;71;161;81;307;456;275
FvH4_4g34360;76;90;120;10;13;16;5;30;4;8;16;17
FvH4_5g23620;109;105;130;58;45;30;24;49;47;81;171;65
FvH4_3g23780;4;8;0;22;47;23;38;97;17;14;156;3
FvH4_1g15610;563;563;617;312;227;189;376;338;433;242;301;224
FvH4_5g35670;2999;2728;3186;656;620;493;621;847;925;651;468;489
FvH4_5g08050;1242;1246;1439;992;786;735;448;581;563;904;940;901
FvH4_3g21120;904;809;825;286;234;221;592;505;558;257;426;283
FvH4_3g23781;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_3g21121;23;7;23;0;0;2;0;0;0;0;0;0
FvH4_4g36950;45;37;52;6;2;0;33;31;34;4;6;6
FvH4_1g27600;5;2;5;5;3;0;2;7;4;4;2;3
FvH4_1g27601;8;6;7;39;42;32;0;0;5;43;24;30
FvH4_3g35770;301;338;349;189;88;122;148;218;189;212;297;198
FvH4_5g23690;0;0;1;2;0;0;0;0;0;0;0;0
FvH4_5g21030;0;0;0;1;0;0;0;0;0;0;0;0
FvH4_1g03630;52;29;33;31;43;29;5;26;7;11;26;5
FvH4_3g35771;1;0;0;0;0;0;0;0;0;0;1;0
FvH4_3g35772;5;5;11;7;13;7;4;4;7;3;9;2
FvH4_3g23790;496;498;512;1189;944;788;226;405;285;1049;998;1012
FvH4_2g02400;382;347;409;221;153;146;216;257;171;45;99;61
FvH4_2g02401;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_5g35660;228;189;164;127;97;80;351;312;420;118;99;96
FvH4_5g08060;3;6;2;0;5;0;4;3;1;0;18;0
FvH4_3g21130;112;67;96;0;2;4;2;1;2;2;1;2
FvH4_1g27613;2;4;8;3;0;1;5;7;10;2;4;12
FvH4_4g10396;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_4g36960;83;70;82;52;76;41;182;196;177;11;120;3
FvH4_1g27614;17;12;6;24;13;9;110;66;127;47;46;46
FvH4_4g10395;0;0;0;0;2;0;0;0;0;0;1;1
FvH4_1g27611;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_4g10394;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_1g27612;1;1;1;5;0;1;5;2;2;9;6;7
FvH4_4g10393;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_5g33001;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_4g34301;0;0;0;0;0;0;0;0;1;0;0;0
FvH4_5g33000;0;0;0;0;0;0;0;0;0;2;1;0
FvH4_4g34300;214;260;287;115;114;122;21;8;32;35;7;36
FvH4_5g23680;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_5g21020;817;706;866;548;554;428;302;368;393;328;406;267
FvH4_5g21021;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_3g35760;325;303;339;606;456;342;311;545;362;767;1010;830
FvH4_4g10392;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_1g27610;5;7;2;4;0;0;2;3;7;2;3;2
FvH4_4g10391;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_4g10390;2;1;1;0;1;0;1;0;0;0;1;0
FvH4_7g28190;1179;1128;1340;473;387;333;89;84;134;820;641;802
FvH4_3g21140;221;143;241;112;76;90;92;112;135;79;60;71
