Name;FK0HR1;FK0HR2;FK0HR3;FK42DR1;FK42DR2;FK42DR3;FL0HR1;FL0HR2;FL0HR3;FL42DR1;FL42DR2;FL42DR3
FvH4_7g33470;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_1g18880;2;2;3;2;0;0;2;0;0;0;0;0
FvH4_4g06380;437;464;580;13;34;27;70;33;115;101;47;76
FvH4_4g31340;364;376;401;380;281;348;166;392;215;373;496;333
FvH4_4g31341;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_6g08621;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_7g21490;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_6g08620;221;187;230;48;52;58;123;84;138;74;67;62
FvH4_6g08622;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_1g28210;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_2g41080;576;532;589;307;271;233;120;201;173;325;227;233
FvH4_1g04240;252;302;250;57;44;50;8;12;21;15;23;34
FvH4_4g18360;119;149;135;72;61;48;49;55;71;58;81;75
FvH4_7g33460;3220;3081;3241;1779;1459;1336;873;2245;1245;1753;2087;1414
FvH4_1g16210;725;608;848;672;489;498;716;1110;702;1004;849;923
FvH4_1g18870;13;11;25;8;6;4;5;5;4;1;4;3
FvH4_1g16212;392;390;478;349;258;270;1689;3069;1276;1652;1906;1601
FvH4_1g16211;172;139;154;201;167;125;38;202;33;25;237;29
FvH4_4g06370;361;336;314;294;231;244;131;167;146;138;202;132
FvH4_4g31350;476;413;397;3033;2546;2279;110;66;113;1278;1075;1050
FvH4_6g08610;3094;2775;3360;3725;2701;2190;664;623;788;1310;1213;1305
FvH4_6g08611;2028;1649;1989;940;1148;856;1043;1165;1172;380;533;296
FvH4_7g21480;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_2g41090;61;65;59;10;10;13;91;131;97;37;74;35
FvH4_1g28220;0;0;0;0;0;0;0;0;0;0;0;1
FvH4_1g06890;11;20;8;0;0;0;1;2;0;0;0;0
FvH4_1g04230;2845;2661;2913;992;1084;913;405;421;611;309;280;271
FvH4_4g21990;1518;1345;1504;819;663;554;1047;1039;1176;979;1059;1023
FvH4_1g04260;0;0;0;0;0;0;0;1;0;0;0;0
FvH4_7g33490;97;81;86;138;98;77;126;158;111;226;234;229
FvH4_4g21991;952;969;1012;609;511;479;484;806;583;608;826;610
FvH4_1g16240;414;403;490;475;359;333;720;1036;1055;627;1091;686
FvH4_4g06360;37;35;33;21;20;23;15;18;19;15;27;7
FvH4_4g31360;313;334;345;291;258;252;81;132;85;32;98;21
FvH4_6g08641;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_4g18342;1608;1587;1811;227;219;171;206;148;325;1053;396;889
FvH4_6g08640;377;334;458;575;311;383;429;845;731;1154;1101;1036
FvH4_4g18341;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_4g18340;192;166;203;102;192;185;15;39;20;20;32;20
FvH4_2g41060;269;206;293;291;189;204;166;267;162;466;882;466
FvH4_7g33480;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_4g21980;18;24;15;18;13;15;14;19;24;38;43;44
FvH4_4g21981;1417;1280;1334;514;455;458;447;1000;459;506;509;556
FvH4_1g16231;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_1g16230;69;71;83;23;12;9;106;43;115;406;182;379
FvH4_1g18891;768;677;645;1747;1200;1171;437;336;368;231;143;165
FvH4_1g18892;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_1g18893;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_4g31370;629;663;606;328;260;326;198;347;286;422;431;331
FvH4_4g06350;20;27;25;20;11;6;14;3;10;5;16;4
FvH4_1g18890;343;346;350;247;293;268;217;222;213;213;222;184
FvH4_1g28200;1000;1038;1048;895;772;667;1112;1182;1156;1131;1430;1187
FvH4_6g08630;5;16;4;1;0;0;0;0;2;4;0;1
FvH4_1g04250;2540;2360;2538;1398;1336;1241;3497;3429;4141;1598;1839;1648
FvH4_4g18330;413;313;400;443;420;380;175;224;184;429;393;478
FvH4_1g28201;0;0;0;0;0;0;0;0;0;1;0;0
FvH4_2g41070;13;9;9;0;9;1;32;107;12;0;63;7
FvH4_3g18500;3155;2915;3380;1526;1350;1166;936;1195;1093;844;1021;815
FvH4_6g45600;0;0;0;0;0;0;0;2;0;0;5;0
FvH4_6g21630;2441;2427;2522;2036;1777;1611;1347;1626;1512;1898;2060;1652
FvH4_1g18840;81;56;59;77;52;44;19;24;32;47;71;52
FvH4_2g16080;0;0;1;0;0;0;0;10;5;14;25;18
FvH4_4g33960;1361;1206;1307;332;207;261;469;182;595;213;89;207
FvH4_4g31300;0;3;1;4;3;1;282;190;321;337;269;313
FvH4_2g04090;38;58;61;8;12;7;44;16;43;2;12;4
FvH4_1g04200;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_6g21640;307;379;260;32045;24358;27291;5;21;150;355;295;208
FvH4_6g06000;481;473;416;295;271;224;1033;1718;1273;1007;1192;1083
FvH4_2g28060;209;215;207;129;114;71;105;135;116;102;138;112
FvH4_1g06860;545;506;535;231;185;183;333;357;326;264;335;264
FvH4_3g06513;449;404;544;550;457;343;0;119;3;3;9;3
FvH4_3g06511;0;1;3;16;15;31;0;544;2;3;10;2
FvH4_4g18390;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_3g06512;2;3;0;5;2;3;0;305;0;0;0;1
FvH4_6g21641;28;21;20;7;6;2;11;7;13;4;7;10
FvH4_6g21642;0;0;0;0;0;0;1;0;1;1;1;0
FvH4_1g18830;255;296;370;243;163;118;135;194;182;158;217;166
FvH4_1g18831;12;9;19;31;15;15;18;5;12;9;19;7
FvH4_6g33630;0;0;0;0;0;0;0;0;0;1;0;1
FvH4_3g06510;1;1;1;137;78;86;0;36;1;59;9;39
FvH4_2g16070;92;94;94;275;216;166;2326;2302;2746;3898;4349;4045
FvH4_4g33970;85;47;43;29;18;47;308;710;302;100;266;105
FvH4_4g31310;40;42;59;126;114;91;24;34;24;322;271;287
FvH4_1g06851;3;8;5;0;0;0;0;0;2;4;5;0
FvH4_6g08650;517;412;558;231;186;209;1721;874;1914;247;197;206
FvH4_6g21650;0;1;1;13;6;17;0;0;0;0;0;0
FvH4_1g06850;156;105;113;6;9;10;787;618;1054;365;358;383
FvH4_6g21651;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_2g28050;0;0;1;0;0;0;0;0;0;0;0;0
FvH4_2g41050;750;704;640;1785;2043;1819;455;602;438;264;923;297
FvH4_4g18381;1;3;1;0;0;0;0;3;0;0;14;0
FvH4_4g18380;0;0;0;0;0;0;0;0;1;0;1;0
FvH4_3g06500;1425;1346;1390;803;671;648;504;736;557;687;896;699
FvH4_6g21610;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_6g18000;142;146;150;253;150;104;84;99;77;180;182;204
FvH4_1g16200;359;318;396;128;108;153;25;35;49;51;84;32
FvH4_4g33980;6265;6069;7308;4216;3570;3513;3470;4671;4350;3702;2820;3917
FvH4_2g41020;1403;1332;1691;1035;888;775;614;643;715;1040;965;1049
FvH4_4g31320;480;452;557;14;42;26;94;95;59;15;72;8
FvH4_1g04221;202;166;203;154;94;106;70;98;95;70;93;75
FvH4_6g06020;360;348;335;567;500;444;555;500;529;783;899;787
FvH4_2g28081;0;0;0;0;0;0;0;31;0;0;0;1
FvH4_2g28080;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_1g06880;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_2g28082;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_1g04220;711;719;767;624;564;501;271;390;304;389;492;379
FvH4_6g08680;6;7;6;0;0;0;0;0;0;0;0;0
FvH4_6g21620;418;407;393;386;299;250;165;316;222;318;442;310
FvH4_4g06390;11;14;13;10;4;4;2;1;5;3;1;6
FvH4_1g18850;8359;9177;10261;1190;1362;933;338;1127;452;107;107;101
FvH4_4g06391;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_6g33603;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_6g33602;113;142;131;181;157;137;2;6;1;2;4;5
FvH4_2g41030;0;2;0;0;0;0;0;0;0;0;0;1
FvH4_4g33990;692;703;950;225;172;188;258;269;296;241;257;244
FvH4_6g33604;0;0;1;0;0;0;0;0;0;0;0;0
FvH4_4g31330;1448;1262;1356;1463;1202;935;578;770;752;1104;1018;1229
FvH4_6g33601;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_6g33600;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_1g04210;736;560;631;293;219;160;1040;729;2344;1773;651;1560
FvH4_6g06010;1020;957;1017;550;668;625;448;437;495;341;531;363
FvH4_2g28070;50;29;37;80;61;70;20;10;10;31;28;18
FvH4_6g08670;338;327;377;303;216;221;192;258;246;301;379;290
FvH4_1g06870;1224;1082;1236;928;838;722;316;450;401;321;358;266
FvH4_7g08430;412;423;503;807;343;316;385;368;480;1050;783;888
FvH4_1g18800;0;0;0;0;0;0;1;0;0;0;0;0
FvH4_1g18801;3;2;7;3;4;0;2;6;4;4;4;1
FvH4_5g06191;0;0;0;0;0;2;0;0;0;0;0;0
FvH4_6g18020;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_5g06192;0;0;0;0;0;0;0;0;1;0;0;0
FvH4_6g33660;467;528;546;189;163;130;2454;1669;2849;1826;1683;1843
FvH4_7g21402;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_6g31000;1188;1087;1286;1257;1480;1345;544;988;693;1152;1496;1052
FvH4_5g06190;0;0;0;0;0;3;0;0;0;0;0;0
FvH4_7g21401;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_7g21400;11;7;2;5;2;5;1929;1249;2210;920;778;1011
FvH4_5g06193;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_5g06194;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_5g31150;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_6g45650;1;2;4;3;1;3;31;13;20;25;59;13
FvH4_1g06820;3803;3748;3916;2991;2550;2648;1550;2527;2078;1959;2434;1406
FvH4_5g18170;47;35;52;39;40;17;27;61;45;13;62;7
FvH4_6g21680;44;60;68;29;24;13;15;26;18;29;48;21
FvH4_6g06040;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_6g06041;4;2;5;2;0;0;13;1;11;2;9;7
FvH4_7g08440;1552;1553;1796;1976;1794;1794;1073;1308;1323;719;848;527
FvH4_6g31010;6196;6152;6767;2931;2544;2197;1932;2408;2431;1946;2083;1849
FvH4_6g33670;1041;934;1037;778;745;687;434;735;521;725;967;671
FvH4_6g18010;165;180;189;181;85;75;208;162;206;281;218;228
FvH4_1g06811;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_1g06810;488;477;483;702;573;464;306;527;286;489;870;479
FvH4_1g06812;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_5g18180;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_6g45640;829;754;1194;652;474;539;2392;1350;2534;420;271;280
FvH4_5g18181;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_6g08690;16;16;13;11;8;12;11;5;13;24;17;15
FvH4_6g21690;17;18;18;15;8;5;0;0;1;0;0;0
FvH4_6g06030;1200;1274;1377;522;398;331;615;721;746;522;720;554
FvH4_7g08450;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_5g18151;6822;6086;6666;4298;3534;3103;1810;2389;2117;2386;2409;2118
FvH4_5g18150;7017;6936;7653;12417;10877;10252;3165;4755;3936;6168;6700;6623
FvH4_6g21652;0;0;0;0;0;0;0;0;0;0;1;0
FvH4_5g06170;234;188;214;267;251;223;141;145;149;224;251;204
FvH4_6g18041;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_1g18820;1321;1273;1457;1003;777;694;799;961;723;1147;1255;1113
FvH4_6g18040;348;344;395;304;292;231;82;98;96;105;232;87
FvH4_6g33640;7252;6764;7611;3605;2426;2115;852;1371;960;2341;2544;2261
FvH4_5g31131;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_7g21430;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_5g31132;0;0;0;1;0;0;0;0;0;0;0;0
FvH4_5g31130;0;0;0;2;2;3;0;0;0;0;0;0
FvH4_5g33791;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_6g33631;1;0;4;5;3;1;2;0;3;25;5;3
FvH4_5g33790;4874;4465;5196;1946;1753;1374;856;715;939;676;839;724
FvH4_1g06840;0;0;0;0;0;0;0;0;1;0;0;0
FvH4_6g45630;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_1g06841;34;28;36;140;115;75;47;57;60;353;347;341
FvH4_6g21660;75;210;92;58;58;50;52;148;100;339;279;294
FvH4_6g06060;0;0;0;0;0;0;0;4;0;0;0;0
FvH4_6g06061;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_7g33400;3004;3031;3322;1404;1376;1222;1211;1837;1398;1590;1748;1493
FvH4_6g45610;342;333;367;374;284;230;180;274;227;346;446;328
FvH4_7g08460;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_5g06180;599;580;602;317;396;312;265;294;280;126;247;123
FvH4_6g33650;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_5g06181;104;105;120;38;36;45;10;14;16;13;21;13
FvH4_6g18030;99;115;121;51;67;67;27;43;50;28;50;20
FvH4_6g33652;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_1g18810;589;653;727;660;549;425;478;602;535;554;623;614
FvH4_6g33651;0;0;0;0;0;1;1;1;0;0;0;0
FvH4_2g06700;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_5g31120;2138;2025;2294;1437;1412;1197;884;1324;1086;1095;1323;987
FvH4_5g33781;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_5g33780;81;64;65;68;83;51;4;18;9;229;138;216
FvH4_6g21672;1;0;0;0;0;2;0;0;0;3;0;0
FvH4_5g18160;462;525;573;333;347;283;66;58;120;97;46;168
FvH4_6g21670;4507;4166;2201;24715;21164;16925;377;1226;434;1734;3666;1246
FvH4_1g06830;333;338;326;90;61;61;128;154;150;103;118;85
FvH4_6g21671;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_6g45620;973;875;1071;670;749;664;754;550;1055;366;222;319
FvH4_6g06050;0;0;0;0;0;0;0;11;0;0;0;0
FvH4_6g06051;0;0;0;0;0;0;1;0;1;0;0;0
FvH4_6g06080;572;520;601;455;314;274;412;476;395;281;293;268
FvH4_7g33430;342;297;358;464;405;316;94;130;96;167;277;177
FvH4_7g08470;594;566;646;452;363;303;391;409;525;343;369;340
FvH4_6g18063;80;94;117;100;85;73;360;318;357;160;260;183
FvH4_6g18062;0;0;0;2;0;0;0;0;0;0;0;0
FvH4_6g18061;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_6g31040;3337;3083;2769;454;471;386;22;89;21;19;132;32
FvH4_6g18060;130;101;141;46;69;52;18;13;21;5;9;9
FvH4_6g43030;121;131;126;75;74;106;100;271;132;97;101;88
FvH4_5g31190;7;12;12;7;12;5;0;1;0;0;0;0
FvH4_6g45690;5039;4660;4900;4908;3611;2943;3076;3274;2755;2688;2484;2622
FvH4_4g31380;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_6g06070;5;2;0;1;0;1;0;0;0;0;0;0
FvH4_7g33420;762;716;723;644;529;389;844;1106;783;718;1239;748
FvH4_7g08480;136;141;142;27;12;10;6;11;13;26;31;1
FvH4_6g18050;0;1;1;2;0;2;0;0;0;0;1;0
FvH4_6g31050;0;1;0;1;0;0;1;0;0;0;1;0
FvH4_7g21440;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_5g31180;1;1;0;0;0;0;0;0;0;1;1;0
FvH4_6g43020;475;448;452;51;74;62;95;231;95;42;74;41
FvH4_7g33410;1;0;2;0;0;0;0;0;1;0;0;0
FvH4_6g45680;51;59;31;282;177;186;18;291;14;329;570;269
FvH4_4g31390;0;0;2;0;0;2;14;18;11;0;2;0
FvH4_7g33450;58;57;49;103;55;44;45;40;46;85;112;80
FvH4_7g08490;1;0;0;1;1;3;0;0;0;1;0;0
FvH4_6g31020;348;303;451;832;1192;656;764;364;1150;3144;2670;3585
FvH4_6g33681;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_6g33680;18;15;23;33;19;22;18;18;20;17;50;24
FvH4_1g06800;79;73;90;40;28;33;99;254;128;272;465;260
FvH4_5g31171;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_5g18190;39;37;62;8;17;12;138;849;226;9;255;5
FvH4_5g31170;4;3;3;3;6;1;0;0;0;0;0;0
FvH4_6g45670;470;460;402;557;541;478;222;328;210;337;453;316
FvH4_6g06090;2172;2093;2128;1395;1432;1139;1487;2396;1499;524;2672;569
FvH4_7g33440;0;1;1;0;0;0;0;0;0;0;0;0
FvH4_7g21461;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_7g21460;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_5g31160;1;0;0;1;3;0;0;0;0;0;0;0
FvH4_6g45660;131;149;166;7;8;8;30;64;27;38;117;33
FvH4_5g18210;149;142;129;432;185;148;585;563;716;1311;918;1198
FvH4_2g06630;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_c1g00130;8;0;7;1;2;1;8;29;9;12;12;15
FvH4_3g43470;19;10;14;9;6;5;12;12;11;8;26;16
FvH4_5g33841;193;208;216;407;333;255;26;17;29;122;143;140
FvH4_5g33851;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_5g33850;0;0;0;0;0;2;0;0;1;1;0;0
FvH4_5g06230;8;15;18;3;3;1;1;6;15;0;5;2
FvH4_3g31490;1053;1069;1139;535;574;464;277;338;352;232;234;229
FvH4_3g31491;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_5g08890;4;3;6;3;14;1;0;1;1;0;0;0
FvH4_2g18620;521;468;571;315;222;250;242;321;265;310;368;310
FvH4_5g21870;1748;1702;1761;641;593;555;871;1025;1077;612;722;667
FvH4_5g21871;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_2g06640;0;0;1;0;0;0;0;0;0;0;0;0
FvH4_5g18220;2717;2614;2879;2486;2116;1912;993;1531;1114;2277;2415;2143
FvH4_3g43460;69;69;73;106;65;72;11;28;22;95;149;78
FvH4_5g33830;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_5g33840;11;13;19;18;13;9;1;2;1;4;9;4
FvH4_2g18610;0;0;0;1;0;0;0;0;0;0;0;0
FvH4_3g31480;0;0;0;0;0;0;0;0;0;0;1;0
FvH4_5g06240;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_5g21860;1;4;0;9;3;4;2;0;2;0;1;0
FvH4_5g21840;515;546;521;287;295;252;250;317;294;154;260;176
FvH4_2g31610;1419;1236;1456;462;258;255;844;1053;1107;960;1199;937
FvH4_3g43490;1140;994;783;393;511;246;536;1905;1040;249;1121;194
FvH4_2g06650;278;276;352;54;60;47;64;85;102;126;172;139
FvH4_5g33820;977;948;1059;837;741;676;1155;2861;1337;3067;3393;3288
FvH4_2g18640;78;88;102;14;10;8;2;6;11;8;20;10
FvH4_5g06210;3009;3532;2916;290;2097;355;361;1730;1442;121;385;135
FvH4_6g45590;16;8;11;0;0;0;72;68;41;0;0;0
FvH4_2g31600;506;534;630;182;136;135;198;312;230;158;225;161
FvH4_6g45591;0;0;0;0;3;0;35;69;41;1853;305;1782
FvH4_5g21830;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_5g18200;507;439;452;402;247;233;327;405;339;389;405;395
FvH4_2g06660;5064;4568;4133;14026;9497;8489;1061;1607;1146;5644;4698;5680
FvH4_3g43480;463;446;527;1067;904;812;304;529;389;948;1052;995
FvH4_5g33810;3524;3233;3599;325;336;218;401;369;429;343;762;305
FvH4_5g06220;1658;1658;1826;162;871;191;544;3532;1542;590;3675;945
FvH4_5g08881;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_3g06490;1758;1598;1736;2308;1707;1292;749;1143;865;1900;1812;1865
FvH4_5g08880;0;4;6;0;4;0;1;2;2;0;1;0
FvH4_2g18630;215;232;228;530;362;319;185;390;234;624;849;641
FvH4_6g45580;455;480;485;453;473;440;174;350;238;331;649;369
FvH4_3g18470;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_5g31230;573;532;663;424;341;358;293;298;306;226;356;252
FvH4_5g33890;1;4;2;5;3;1;0;8;5;5;19;19
FvH4_5g06270;8565;8059;8568;9586;10298;9025;4700;6652;5123;4928;9211;4901
FvH4_3g31450;3597;3608;3347;3107;2596;2578;6661;11424;8590;19636;25437;20231
FvH4_5g18260;12;15;13;14;14;10;608;1125;556;559;2612;566
FvH4_3g18481;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_3g18480;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_5g06280;805;723;792;638;515;387;343;403;410;374;395;365
FvH4_2g06600;70;73;77;59;27;33;68;51;70;68;73;58
FvH4_7g08400;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_5g33880;1194;1040;1084;1005;790;823;538;683;491;533;669;559
FvH4_3g31440;44;26;55;82;50;44;64;193;88;163;246;179
FvH4_3g31441;0;0;0;0;0;0;0;0;0;0;1;0
FvH4_3g31442;0;0;0;0;0;1;1;0;4;1;2;0
FvH4_5g18231;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_2g06610;2;3;0;15;7;16;0;2;1;3;1;1
FvH4_3g18490;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_5g18230;19;18;20;183;182;163;6;14;9;586;400;382
FvH4_3g18491;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_7g08410;143;148;189;98;63;55;151;120;148;99;121;89
FvH4_5g33871;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_5g33870;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_2g18600;400;424;398;216;179;132;769;482;1052;750;368;707
FvH4_5g06250;611;562;602;398;280;293;234;270;277;216;317;178
FvH4_3g31470;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_2g18601;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_3g31471;9;6;7;9;4;12;3;7;3;5;14;7
FvH4_5g21890;1834;1883;2014;1720;1498;1232;595;811;598;582;814;476
FvH4_2g06620;146;138;101;0;2;1;236;89;265;4;2;0
FvH4_7g08420;2;0;1;1;1;2;0;0;7;0;2;1
FvH4_5g18240;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_3g43440;45;52;53;94;120;71;3;56;1;39;98;35
FvH4_5g33852;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_5g31200;30;45;31;42;37;30;11;24;21;14;29;27
FvH4_5g33860;926;887;961;528;379;281;334;400;470;316;372;285
FvH4_5g06260;78;88;91;207;134;164;5;18;7;17;36;24
FvH4_3g31460;403;373;469;228;233;199;208;174;211;128;175;127
FvH4_5g21880;484;419;435;733;500;494;6357;6772;6434;3995;5591;4155
FvH4_1g28290;83;69;100;125;142;118;53;85;79;101;128;91
FvH4_2g28021;265;282;254;310;240;224;82;118;96;107;170;117
FvH4_2g28020;1169;1144;1157;716;599;455;564;654;696;560;493;554
FvH4_3g06440;1139;1034;1115;908;689;668;1024;1191;1146;730;1023;721
FvH4_2g16040;1;0;0;0;0;0;0;0;0;0;0;0
FvH4_2g41000;4640;4098;4470;3744;3446;3055;1957;2405;2213;2746;2811;2449
FvH4_2g41001;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_4g06420;2299;2222;1606;357;452;235;24;21;15;1;11;1
FvH4_4g18400;1381;1307;1308;2332;2000;1765;661;1129;799;1676;1707;1458
FvH4_3g18430;2011;2296;2563;849;679;631;674;1528;744;450;1269;564
FvH4_5g08812;326;342;386;430;301;218;263;328;316;369;490;401
FvH4_2g04050;190;159;191;85;63;50;108;72;123;132;96;104
FvH4_3g31410;775;679;748;357;370;355;219;184;210;311;242;278
FvH4_5g08811;81;90;87;130;121;77;76;101;98;166;194;159
FvH4_5g08810;778;710;874;322;326;287;164;207;189;182;212;159
FvH4_2g28010;50;43;51;3;3;3;54;282;40;0;19;1
FvH4_2g31660;7062;6094;6503;1085;1806;1254;129;190;135;64;100;71
FvH4_2g31661;2;2;0;1;1;0;0;2;1;0;7;1
FvH4_3g06430;309;294;253;232;132;137;77;45;216;89;7;172
FvH4_2g16030;145;179;88;0;1;0;0;0;0;0;0;0
FvH4_4g06410;0;2;0;0;0;1;0;10;1;16;3;6
FvH4_4g06411;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_4g06412;0;0;2;0;0;0;0;2;2;0;5;0
FvH4_3g18440;507;457;503;250;198;162;393;477;535;324;528;321
FvH4_5g08822;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_2g04060;180;183;231;32;35;36;95;83;117;31;37;27
FvH4_3g31400;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_5g08821;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_5g08820;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_1g28270;0;0;0;0;0;1;0;0;0;0;0;0
FvH4_2g31690;266;218;304;239;164;130;90;157;108;137;280;158
FvH4_3g06420;2691;2561;2916;1946;1514;1406;812;1842;1104;2490;3285;1874
FvH4_3g43403;4;10;5;0;2;1;0;0;0;0;0;0
FvH4_3g43402;0;0;0;1;0;0;0;0;0;0;0;0
FvH4_3g43405;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_3g43404;229;253;273;11;12;9;30;8;37;12;21;6
FvH4_3g18450;1273;1318;1508;1019;947;809;399;577;449;701;751;657
FvH4_4g06400;7;5;8;18;15;11;3;0;5;13;10;7
FvH4_3g18451;0;0;0;0;0;0;0;0;0;1;0;0
FvH4_3g31430;1;0;2;0;0;0;0;1;1;1;3;0
FvH4_2g28040;9;7;4;14;11;4;0;7;2;2;14;3
FvH4_1g28280;273;253;265;345;265;230;384;334;482;339;292;279
FvH4_2g31680;1574;1282;1401;277;413;291;26;64;32;6;13;5
FvH4_4g31400;20;22;24;15;9;10;8;10;9;9;11;8
FvH4_2g16050;8;5;10;2;7;0;18;57;14;5;13;3
FvH4_3g06410;268;229;283;463;377;288;879;1121;948;1175;1496;1215
FvH4_2g16051;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_3g43401;0;0;0;1;0;0;0;0;0;0;0;0
FvH4_3g43400;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_2g16054;345;318;415;1142;980;830;264;693;63;411;2018;403
FvH4_2g16055;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_2g16052;328;347;443;10;16;9;20;142;112;0;2;1
FvH4_2g16053;1;1;2;0;0;0;0;0;0;0;0;0
FvH4_3g18460;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_5g08801;12;4;11;31;22;23;6;5;6;12;35;18
FvH4_5g08800;0;1;1;1;0;0;0;0;0;0;0;0
FvH4_2g28030;228;230;209;276;214;180;117;153;163;228;298;217
FvH4_2g04080;480;480;565;179;138;161;150;154;215;199;164;165
FvH4_3g31420;11;10;8;5;0;2;1;6;5;3;3;3
FvH4_2g04010;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_1g04280;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_2g31630;502;476;511;649;486;405;105;187;97;329;835;332
FvH4_1g04281;0;0;0;0;0;0;0;0;0;1;0;0
FvH4_5g21820;0;0;0;0;0;0;0;0;0;1;0;0
FvH4_2g06670;451;444;432;432;514;421;176;262;134;110;639;101
FvH4_2g06671;0;0;0;2;3;1;0;1;2;3;2;2
FvH4_5g08849;9;10;10;15;11;7;6;3;4;9;6;4
FvH4_5g33800;421;342;432;951;749;619;13;24;37;10;11;5
FvH4_2g16000;144;210;232;50;37;53;260;1139;279;83;214;121
